,gold,prediction,rouge_score,bertscore_precision,bertscore_recall,bertscore_f1,factCC_label,factCC_score
0,"The paper investigates the capacity for neural language models to perform fast-mapping word acquisition using a proposed multimodal external memory architecture. Much work exists that shows that neural models are capable of following instructions whose meaning persists across episodes (i.e., slow-learning), however much less attention has been paid to instruction-following in a one-shot learning context. Using a simulated 3D navigation/manipulation domain, the paper shows that the proposed multimodal memory network is capable of both slow and one-shot word learning when trained via standard RL.

The submission was reviewed by four knowledgable referees, who read the author feedback and engaged in discussion with the authors. The paper is topical---one-shot language learning for instruction-following using neural models is of significant interest of-late. The reviewers agree that the proposed multimodal memory architecture is both interesting and technically solid. The reviewers raised concerns about the experimental evaluation and the role of embodiment. The author feedback together with discussion with reviewers were helpful in resolving some of these issues. However, the authors are encouraged to ensure that the paper clearly motivates the importance of embodiment to slow learning and fast-mapping, particularly given the large body of work in language acquisition in robotics, a truly embodied domain, which is notably missing from the related work discussion.

","The paper presents an argument for a multi-modal memory-architecture called DCEM whose key/queries and values are dependent on language and vision modalities. The proposed DCEM model outperforms baselines on various metrics and ablation. The paper only investigates generalization of object names. This is kind of a low hanging fruit for generalization in language space. The experiments on nonsense words are randomly generated characters in every episode of training and evaluation, to tease out that the new word is being memorized and associated, not that the agent is memorizing that ""dax"" per episode changes meaning. The constant references to the appendix are generally jarring, but this one is just sort of silly. It could be a single sentence maybe but not a whole subsection.",0.14942528735632185,0.7699291706085205,0.7542904615402222,0.7620295882225037,INCORRECT,0.5837467908859253
1,"This paper considers the problem of (biological) sequence design and optimization. The authors made an interesting yet important case that in certain sequence design tasks, a simple evolutionary greedy algorithm could be competitive with the increasingly complex contemporary black-box optimization models.

Most reviewers appreciate the design of the open-source simulation environment in benchmarking AdaLead (and other competing algorithms) in a number of biological sequence design tasks (e.g. TF binding, RNA, and protein). However, there is a common concern that the experimental results are not fine-grained enough to explain the outperforming results of the proposed algorithm. There are also unresolved comments on missing important BO baselines in the empirical study. As a purely empirical work, these appear to be important concerns. While these results appear to be useful for the domain of biological sequence design, the reviewers are unconvinced that the proposed algorithm is significantly novel, or the results are sufficiently compelling to merit an acceptance to this venue.


","Simple evolutionary algorithm ""AdaLead"" outperformed several existing methods. There is a lack of exploration to understand why AdaLead is outperforming. Some of the figure labels can be improved. There are some acronyms likely not familiar to computer scientists with little biological background left unexplained, such as ""w.t."" in fig 1B. The paper is clearly written. It is unclear to me the ML significance of this work to the ICLR community. It might be more suitable for a specific compbio venue. What could we learn from this result? The authors have surveyed and tested many existing algorithms. They have considered many settings such as DNA, RNA, and protein as well as ""swampland"" The improvement wrt to SOTA is shaky.",0.15658362989323843,0.7861700057983398,0.7796469926834106,0.7828949093818665,INCORRECT,0.9950181245803833
2,"This paper presents non-trivial and novel theoretical and computational modeling that accounts for experimentally observed phenomena: the theta phase procession and precession. These phenomena are implicated in the neural representation and learning of neuronal networks involving hippocampus. Although the current manuscript does not address the learning and the presentations are limited to a linear track environment, it represents a clear advance in linking spatial and temporal information representations by extending the standard continuous attractor models that do not exhibit phase procession/precession. Furthermore, the model elegantly explains the biologically observed unimodal and bimodal cells. The authors are encouraged to improve the clarity of some parts of the writing.


","The proposed model is based on a network of recurrent connections with a Gaussian profile. The model is intended to be used in a variety of ways, not just as an example of how to use a neural network. It is not clear if the model can be applied to other areas of the brain, such as the development of new neurons, or if it can be generalized to other parts of the body. The main challenge is that the model does not provide a way of predicting how the brain will react to a change in the environment. It would be helpful to have a better idea of what is going on in the brain when a change is made, rather than relying on the model to predict it. The best way to understand the model is to look at the way the brain responds to changes in its environment, and to try and predict them.",0.16541353383458648,0.7611321210861206,0.7586920261383057,0.7599101066589355,CORRECT,0.9966914653778076
3,"The proposed method introduces a method for unsupervised image-to-image mapping, using a new term into the objective function that enforces consistency in similarity between image patches across domains. Reviewers left constructive and detailed comments, which, the authors have made substantial efforts to address.

Reviewers have ranked paper as borderline, and in Area Chair's opinion, most major issued have been addressed:

- R3&R2: Novelty compared to DistanceGAN/CRF limited: authors have clarified contributions in reference to DistanceGAN/CRF and demonstrated improved performance relative to several datasets.
- R3&R1: Evaluation on additional datasets required: authors added evaluation on 4 more tasks
- R3&R1: Details missing: authors added details. 



","The paper adds a spatial regularization loss to the well-known CycleGAN loss for unpaired image-to-image translation. The regularization is similar to imposing a CRF (Conditional Random Field) term on the network outputs. This enables the translation network to preserve edge discontinuities and variation in the output. This leads to better outputs for medical imaging, image to labels task, and horse to zebra and vice versa. The paper is lacking in technical details: what is the patch-size used for RGB-histogram? What features or conv-layers are used to get the features from VGGNet? It is not clear why RGB-Histogram would work? The current formulation can be thought as a variant of perceptual loss from Johnson et al. ECCV'16.",0.15450643776824036,0.7617600560188293,0.7620205879211426,0.7618902921676636,INCORRECT,0.9835420846939087
4,"The authors provide a benchmark for federated learning. 

The commonly mentioned strengths:
- there is a big need in the community for this type of work
- easily accessible code
- various levels of complexity with different granularity

Regarding the weaknesses, I see no showstoppers
- some feedback about the experiments done on the datasets -> this point comes back consistently among all reviewers, in terms of the amount, settings and reproducibility.. The authors are adviced to address this in future work, to keep momentum for the use of the community on this dataset 
- there was some discussion about tensorflow and pytorch, but based on the discussion both seem supported
- some settings / image types could be better supported

None of these weaknesses seem serious, and quite frankly, we can not expect one dataset to cover all possible settings. Since the reviewers are in agreement about the quality of this work, I recommend them for an oral presentation. 

","The paper was published in the open-source software journal, Caffeine and NLP: A Practical Guide to NLP and Machine Learning. The dataset consists in 429k images from 51k individual Flickr users. The task consists in classification, with 2 levels of granularity for the classes: 17 coarse and ~1.6k fine classes. The results show the difficulty of the task, with centralizing training getting better results than FL, which is in turn better than DP-FL. This work is really needed, providing an open gamefield to the community. It seems FLAIR only supports TensorFlow, which I think is a huge disadvantage for PyTorch users. Proposed benchmark is only for vision tasks that do not include federated NLP tasks such as federated keyword prediction.",0.16,0.7874770164489746,0.7839187979698181,0.7856938242912292,INCORRECT,0.9943792223930359
5,"This paper studies a timely problem and consider an interesting approach, but overall there were many concerns about technical details and the validity of the framework. The positive reviewer also mentioned concerns about the experiments, which others also found to be an insular comparison with weak baselines. Following the response period, in discussion there are additional concerns arising related to the lack of details, for instance related to possible unidentifiability of the model. As one reviewer discusses,  the authors are attempting to use RNNs to impute missing infection status labels when the missingness mechanism is assumed to be (i) not at random, (ii) playing out over time (as it is unclear whether Y^t is assumed (conditionally) independent of Y^t' with t' << t), and (iii) subject to interference (whether someone is tested is the 'treatment' here since it's a missingess problem and one person's propensity to be tested could causally affect another person's downstream infection status since apparently no Markov independence is assumed. There is also consensus that the writing quality can be greatly improved. Overall this work contains some ideas with potential in a thorough revision 

","The proposed approach formalizes an intuitive understanding of the spread of an infectious disease in (as far as I am aware) a novel way. Experimental results on a (private) real-world dataset are somewhat mixed, but show that MIINT achieves a better true positive rate at an acceptable false positive rate. It is not clear to me of the practical significance of the “isolation policy” results. Even using an oracle, Figure 1 seems to suggest that between 30-40% of the population would need to be tested to see a reduction in the infection rate. Neither the paper nor the supplement describe the features available in the real data. It seems a bit strange that the AUROC and AUPRC in Table 1 are almost perfectly negatively correlated. Is there any explanation for that?",0.1419753086419753,0.7661690711975098,0.7489691972732544,0.75747150182724,INCORRECT,0.9155428409576416
6,"The paper addresses the problem of domain generalization for learning spatio-temporal dynamics. It proposes a solution where an encoder captures some characteristics of a given environment, and a forecaster autoregressively predicts future dynamics conditioned on the characteristics learned by the encoder. Said otherwise, the forecaster learns the general form of dynamics parameterized by an environment representation extracted by the encoder. The conditioning is implemented via an adaptive instance normalization mechanism. A form of padding is also introduced in order to take into account boundary conditions. The two components encoder and forecaster are trained sequentially. This approach is casted in a meta-learning framework. Theoretical results inspired by multi-task learning and domain adaptation are also demonstrated. The model is evaluated and compared to different baselines on three problems, and for two different settings: varying initial conditions with a given dynamics, and dynamics with varying parameters.

This is a borderline paper. It targets a timely and important problem of domain generalization for dynamic environments. The proposed solution is original and compares well experimentally to several baselines. It allows for better generalization performance for the two test settings considered. In the current version, the paper however suffers from different weaknesses. First there is the imprecision of the arguments and the description of the experiments. Some of the arguments and claims are vague and sometimes abusive, not backed up by evidence. For example, a central claim is that the encoder learns time invariant quantities characterizing the environment when the learned representations indeed change with a time shift in the input for any environment. The same goes for the argument developed for the padding construction. It is claimed to model boundary conditions, but this is not supported by any theoretical or empirical evidence.
As noted by the reviewers, the theoretical analysis is disconnected from the algorithmic and experimental developments and does not bring much additional value to the paper. What is more embarrassing is that some of the claims in this section are overstated and induce incorrect conclusions.  From Theorem 3.1 and proposition 3.3, the authors suggest that multitask learning leads to better generalization than learning independently, while this is not formally guaranteed by the results (this is acknowledged by the authors in a later comment). Besides, the conditions of validity are not discussed while they seem to only cover situations for which the train and the test distributions are the same. The same holds for the second theoretical results (theorem 3.4). It is claimed that this result supports the authors’ idea of training encoder and forecaster sequentially, while it does not. Besides, the bounds in this result cannot be controlled as noted by the reviewers and are not useful in practice.

Overall, the paper addresses an important topic and proposes new solutions. The results are promising and it is indeed an interesting contribution. However, inaccuracies and incorrect or exaggerated claims make it difficult to accept the current version of the article. The article would make a strong and innovative contribution if it were written as a purely experimental article with a detailed description of the experiments and comparisons.

","This work tackles the task of forecasting dynamics in different domains simultaneously. Using an encoder which is trained to determine the task, the inferred latent vector is then used to adapt a forecasting network to the task at hand. Experiments on three datasets linked to fluid dynamics are then conducted to assess the proposed model. This is a good work on a timely subject. The contribution is not groundbreaking but should be significant enough to warrant acceptance. It would be nice to see how the model deals with other families of dynamics. Especially given the fact that the contributions of this work seem geared towards practical considerations. The setting of the experiments should be more precise and additional details should be given: how are the different datasets constructed, how many domains are there in each dataset and what are the differences, how is the balance between the different domains ect.",0.13153961136023914,0.7919142246246338,0.7500964999198914,0.7704383134841919,CORRECT,0.9988892674446106
7,"After careful review, I believe that this paper is a useful contribution to the study of animal pose estimation and tracking. The paper received positive reviews from all the reviewers and the authors have successfully addressed the concerns regarding the lack of sufficient novelty and insufficient benchmarking. The authors also added additional low shot experiments to demonstrate the usefulness of the dataset. Based on this, I think the paper meets the bar for the track and should be accepted.

","APT-36K consists of 2,400 video clips collected and filtered from 30 animal species with 15 frames for each video, resulting in 36,000 frames in total. Three tasks are set up to evaluate several representative models. The results and analysis provide some insights which are useful for researchers in this field. The paper is well written and easy to follow. Experiments seem technically sound. My only concern is the novelty of this dataset on animal pose estimation. Since the proposed dataset contains one more animal pose tracking task, I prefer to put the rating at 'Marginally above acceptance threshold' AFAIK, the pose estimation in the animal kingdom dataset [26] consists of 33K frames, corresponding to 850 animal species, so the proposed datasets for pose estimation and tracking.",0.17307692307692304,0.7734687328338623,0.8144815564155579,0.7934455871582031,INCORRECT,0.9997145533561707
8,"This paper proposes a latent point diffusion model, LION, for 3D shape generation. The model builds two denoising diffusion models in the latent spaces of a variational autoencoder. The latent spaces combine a global shape latent representation with a point-structured latent space.  Comprehensive experiments are conducted to evaluate the performance of the proposed method.  The authors address the major concerns of the reviewers and strengthen the paper by providing additional empirical results. After the rebuttal, all four reviewers reach an agreement on accepting the paper because of the novelty and the state-of-the-art performance. The AC agrees with the reviewers and recommends accepting the paper. 

","The paper proposes a hierarchical architecture for point cloud generation, which is composed of two diffusion models for shape latents and latent points. Exhaustive experiments demonstrate LION outperforms several state-of-the-art models on multiple ShapeNet benchmarks. The mapping from point- clouds to meshes is responsible for the best-looking results in the paper. The writing is clear and easy-to-read throughout; overall I found the paper enjoyable and informative to read. The technical contribution of the model itself is fairly small – DDMs on latent space have become fairly common. The paper seems to clearly improve state of the art shape generation (note this is not my area of expertise, so I have to trust the authors the metrics and datasets are meaningful)",0.2575107296137339,0.7939537763595581,0.8177897930145264,0.8056955337524414,INCORRECT,0.998964786529541
9,"The paper introduces a new method to probe contextualized word embeddings for syntax and sentiment properties using hyperbolic geometry. The paper is written well and relevant to the ICLR community. Reviewers highlight that the proposed Poincaré probe offers solid results, extensive experiments that support the benefits of the approach, and proposes a new approach to analyze the geometry of BERT models. The revised version clarified various concerns of the initial reviews and improved the manuscript (comparison to Euclidean probes, low dimensional examples, new results on edge length distributions etc.). Overall, the paper makes valuable contributions to probing contextualized word embeddings and the majority of reviewers and the AC support acceptance for its contributions. Please revise your paper to take feedback from reviewers after rebuttal into account (especially to further improve clarity and discussion of the method).

","The paper is published in the Proceedings of the National Academy of Sciences of the United States of America. The authors present an extremely lightly parametrized “probe” model to determine the presence of syntactic structure in the embedding space of BERT models. They find that this distance measure, for an equivalent or lesser number of parameters, better reproduces the syntactic properties. This suggests that the BERT model may operate simply, but on a non-Euclidean manifold, in order to work with syntactic information. The name of the parsing dataset is not even mentioned, nor are the meanings of the Spearman correlation metrics (the abbreviations are not self-explanatory). There are also some open questions: for parsing, do you train a single model with both objectives?",0.17624521072796936,0.756090521812439,0.7697658538818359,0.7628669142723083,INCORRECT,0.9885502457618713
