,gold,prediction,rouge_score,bertscore_precision,bertscore_recall,bertscore_f1,factCC_label,factCC_score
0,"The paper investigates the capacity for neural language models to perform fast-mapping word acquisition using a proposed multimodal external memory architecture. Much work exists that shows that neural models are capable of following instructions whose meaning persists across episodes (i.e., slow-learning), however much less attention has been paid to instruction-following in a one-shot learning context. Using a simulated 3D navigation/manipulation domain, the paper shows that the proposed multimodal memory network is capable of both slow and one-shot word learning when trained via standard RL.

The submission was reviewed by four knowledgable referees, who read the author feedback and engaged in discussion with the authors. The paper is topical---one-shot language learning for instruction-following using neural models is of significant interest of-late. The reviewers agree that the proposed multimodal memory architecture is both interesting and technically solid. The reviewers raised concerns about the experimental evaluation and the role of embodiment. The author feedback together with discussion with reviewers were helpful in resolving some of these issues. However, the authors are encouraged to ensure that the paper clearly motivates the importance of embodiment to slow learning and fast-mapping, particularly given the large body of work in language acquisition in robotics, a truly embodied domain, which is notably missing from the related work discussion.

","Multiple reviews of the same paper. Summarize the main content, strengths, weaknesses of the paper based on the reviews, and decide on whether the paper is accepted or rejected. I still recommend acceptance (score of 8). I still Recommend acceptance ( score of 8)  This paper presents an argument for a multi-modal memory-architecture called DCEM. It argues that this will be helpful for generalizing to novel language at test-time. Results are presented in a simple 3D domain containing several objects randomly sampled each time from a set of 30 objects. It is shown that the DCEM can generalize to novel object names. The proposed architecture learns a near-optimal policy, requires few memory slots than baseline and can generalized to novel objects (fast mapping)",0.13793103448275862,0.7583523392677307,0.7439689636230469,0.7510918378829956,INCORRECT,0.9684171080589294
1,"This paper considers the problem of (biological) sequence design and optimization. The authors made an interesting yet important case that in certain sequence design tasks, a simple evolutionary greedy algorithm could be competitive with the increasingly complex contemporary black-box optimization models.

Most reviewers appreciate the design of the open-source simulation environment in benchmarking AdaLead (and other competing algorithms) in a number of biological sequence design tasks (e.g. TF binding, RNA, and protein). However, there is a common concern that the experimental results are not fine-grained enough to explain the outperforming results of the proposed algorithm. There are also unresolved comments on missing important BO baselines in the empirical study. As a purely empirical work, these appear to be important concerns. While these results appear to be useful for the domain of biological sequence design, the reviewers are unconvinced that the proposed algorithm is significantly novel, or the results are sufficiently compelling to merit an acceptance to this venue.


","The authors implement an open-source simulation environment FLEXS to emulate complex biological landscapes. They also propose a simple greedy-search evolutionary algorithm, Adapt-with-the-leader (ADALEAD) That is shown to perform better than its competitors and to optimize in challenging settings. The paper is well written and motivated and previous, relevant literature is discussed. The structure of this paper is somewhat unconventional, the paper would benefit from more rigor and structure. The experimental results are unsatisfactory without a proper BO comparison. The improvement wrt to SOTA is shaky. I question the interest of the ICLR audience for this type of study. I found the algorithm being a specific application of a simplistic search algorithm to the domain of sequence design. What are the lessons learned? Is there any general insight that became available from this study?",0.22666666666666666,0.8005005121231079,0.7973152995109558,0.7989047765731812,INCORRECT,0.997079610824585
2,"This paper presents non-trivial and novel theoretical and computational modeling that accounts for experimentally observed phenomena: the theta phase procession and precession. These phenomena are implicated in the neural representation and learning of neuronal networks involving hippocampus. Although the current manuscript does not address the learning and the presentations are limited to a linear track environment, it represents a clear advance in linking spatial and temporal information representations by extending the standard continuous attractor models that do not exhibit phase procession/precession. Furthermore, the model elegantly explains the biologically observed unimodal and bimodal cells. The authors are encouraged to improve the clarity of some parts of the writing.


","Review of a paper. Summarize the main content, strengths, weaknesses of the paper, and reviewer's decision on acceptance or rejection. This paper proposed a CANN model with feedback inhibition to elucidate the mechanism underlying phase precession and procession of the firing of hippocampal place cells. It would be helpful to generalize their framework or experimental records to 2D or learning scenarios. Such generalization will increase the impact of this paper and might be very helpful to machine learning community. It is meaningful to propose computational models to understand the mechanism. I agree with the authors that there are negligible societal impacts of this work. The paper appears to exhibit overall high quality and clarity (though there are a few places where writing can be cleaned up and polished). The results also appear original and significant. The primary weaknesses I see are addressed in “Questions” below.",0.1568627450980392,0.7837009429931641,0.8074404001235962,0.7953935861587524,CORRECT,0.9022997617721558
3,"The proposed method introduces a method for unsupervised image-to-image mapping, using a new term into the objective function that enforces consistency in similarity between image patches across domains. Reviewers left constructive and detailed comments, which, the authors have made substantial efforts to address.

Reviewers have ranked paper as borderline, and in Area Chair's opinion, most major issued have been addressed:

- R3&R2: Novelty compared to DistanceGAN/CRF limited: authors have clarified contributions in reference to DistanceGAN/CRF and demonstrated improved performance relative to several datasets.
- R3&R1: Evaluation on additional datasets required: authors added evaluation on 4 more tasks
- R3&R1: Details missing: authors added details. 



","HarmonicGAN proposes a method called HarmonicGAN for unpaired image-to-image translation. The key idea is to introduce a regularization term on the basis of CycleGAN, which encourages similar image patches to acquire similar transformations. The technical novelty is very limited in my opinion. I am leaning to reject this submission because of the limited novelty and the inadequate number of experiments. The reviewer's rating is based on the strength of the paper's main content, strengths, weaknesses, and the reviewer's decision on acceptance or rejection. For confidential support, call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here for details. The paper is lacking in technical details: what is the patch-size used for RGB-histogram? What features or conv-layers are used to get the features from VGG (19?) net?",0.16867469879518074,0.7609370350837708,0.7701617479324341,0.7655215859413147,INCORRECT,0.9992368221282959
4,"The authors provide a benchmark for federated learning. 

The commonly mentioned strengths:
- there is a big need in the community for this type of work
- easily accessible code
- various levels of complexity with different granularity

Regarding the weaknesses, I see no showstoppers
- some feedback about the experiments done on the datasets -> this point comes back consistently among all reviewers, in terms of the amount, settings and reproducibility.. The authors are adviced to address this in future work, to keep momentum for the use of the community on this dataset 
- there was some discussion about tensorflow and pytorch, but based on the discussion both seem supported
- some settings / image types could be better supported

None of these weaknesses seem serious, and quite frankly, we can not expect one dataset to cover all possible settings. Since the reviewers are in agreement about the quality of this work, I recommend them for an oral presentation. 

","The paper introduces a novel cross-device federated dataset, FLAIR (Federated Learning Annotated Image Repository) The dataset consists in 429k images from 51k individual Flickr users. The task consists in classification, with 2 levels of granularity for the classes: 17 coarse and ~1.6k fine classes. The results show the difficulty of the task, with centralizing training getting better results than FL, which is in turn better than DP-FL. It seems FLAIR only supports TensorFlow, which I think is a huge disadvantage for PyTorch users. As outlined by the authors, the dataset lacks human faces and bodies and therefore cannot be used for human-centered vision tasks. It is not clear if these labels will be actively used during further research.",0.16788321167883213,0.7868282794952393,0.7752569913864136,0.7809997797012329,INCORRECT,0.9974121451377869
5,"This paper studies a timely problem and consider an interesting approach, but overall there were many concerns about technical details and the validity of the framework. The positive reviewer also mentioned concerns about the experiments, which others also found to be an insular comparison with weak baselines. Following the response period, in discussion there are additional concerns arising related to the lack of details, for instance related to possible unidentifiability of the model. As one reviewer discusses,  the authors are attempting to use RNNs to impute missing infection status labels when the missingness mechanism is assumed to be (i) not at random, (ii) playing out over time (as it is unclear whether Y^t is assumed (conditionally) independent of Y^t' with t' << t), and (iii) subject to interference (whether someone is tested is the 'treatment' here since it's a missingess problem and one person's propensity to be tested could causally affect another person's downstream infection status since apparently no Markov independence is assumed. There is also consensus that the writing quality can be greatly improved. Overall this work contains some ideas with potential in a thorough revision 

","The proposed approach formalizes an intuitive understanding of the spread of an infectious disease in (as far as I am aware) a novel way. Experimental results on a (private) real-world dataset are somewhat mixed, but show that MIINT achieves a better true positive rate at an acceptable false positive rate. Even using an oracle, Figure 1 seems to suggest that between 30-40% of the population would need to be tested to see a reduction in the infection rate. It seems a bit strange that the AUROC and AUPRC in Table 1 are almost perfectly negatively correlated. It is not clear how the numerator of w (the risk in the paragraph above) and the conditional probability of being tested (or propensity for being tested) are related. The paper is not well-written and pretty hard to follow.",0.12765957446808512,0.7770965695381165,0.7551021575927734,0.7659415006637573,INCORRECT,0.9974991679191589
6,"The paper addresses the problem of domain generalization for learning spatio-temporal dynamics. It proposes a solution where an encoder captures some characteristics of a given environment, and a forecaster autoregressively predicts future dynamics conditioned on the characteristics learned by the encoder. Said otherwise, the forecaster learns the general form of dynamics parameterized by an environment representation extracted by the encoder. The conditioning is implemented via an adaptive instance normalization mechanism. A form of padding is also introduced in order to take into account boundary conditions. The two components encoder and forecaster are trained sequentially. This approach is casted in a meta-learning framework. Theoretical results inspired by multi-task learning and domain adaptation are also demonstrated. The model is evaluated and compared to different baselines on three problems, and for two different settings: varying initial conditions with a given dynamics, and dynamics with varying parameters.

This is a borderline paper. It targets a timely and important problem of domain generalization for dynamic environments. The proposed solution is original and compares well experimentally to several baselines. It allows for better generalization performance for the two test settings considered. In the current version, the paper however suffers from different weaknesses. First there is the imprecision of the arguments and the description of the experiments. Some of the arguments and claims are vague and sometimes abusive, not backed up by evidence. For example, a central claim is that the encoder learns time invariant quantities characterizing the environment when the learned representations indeed change with a time shift in the input for any environment. The same goes for the argument developed for the padding construction. It is claimed to model boundary conditions, but this is not supported by any theoretical or empirical evidence.
As noted by the reviewers, the theoretical analysis is disconnected from the algorithmic and experimental developments and does not bring much additional value to the paper. What is more embarrassing is that some of the claims in this section are overstated and induce incorrect conclusions.  From Theorem 3.1 and proposition 3.3, the authors suggest that multitask learning leads to better generalization than learning independently, while this is not formally guaranteed by the results (this is acknowledged by the authors in a later comment). Besides, the conditions of validity are not discussed while they seem to only cover situations for which the train and the test distributions are the same. The same holds for the second theoretical results (theorem 3.4). It is claimed that this result supports the authors’ idea of training encoder and forecaster sequentially, while it does not. Besides, the bounds in this result cannot be controlled as noted by the reviewers and are not useful in practice.

Overall, the paper addresses an important topic and proposes new solutions. The results are promising and it is indeed an interesting contribution. However, inaccuracies and incorrect or exaggerated claims make it difficult to accept the current version of the article. The article would make a strong and innovative contribution if it were written as a purely experimental article with a detailed description of the experiments and comparisons.

","This work tackles the task of forecasting dynamics in different domains simultaneously. Using an encoder which is trained to determine the task, the inferred latent vector is then used to adapt a forecasting network to the task at hand. Experiments on three datasets linked to fluid dynamics are then conducted to assess the proposed model. This is a good work on a timely subject. The contribution is not groundbreaking but should be significant enough to warrant acceptance. It would be nice to see how the model deals with other families of dynamics. The setting of the experiments should be more precise and additional details should be given. The paper could be substantially improved by either adding interpretation/predictions/validation of the theory that connect it back to the approach in the paper, or removing some of the useful parts of the paper.",0.14523449319213314,0.8009710311889648,0.7456866502761841,0.7723407745361328,CORRECT,0.9968576431274414
7,"After careful review, I believe that this paper is a useful contribution to the study of animal pose estimation and tracking. The paper received positive reviews from all the reviewers and the authors have successfully addressed the concerns regarding the lack of sufficient novelty and insufficient benchmarking. The authors also added additional low shot experiments to demonstrate the usefulness of the dataset. Based on this, I think the paper meets the bar for the track and should be accepted.

","The APT-36k dataset consists of 2,400 video sequences, each on 16 frames of annotated video. The videos are balanced across 15 families of animals (30 species), allowing for estimation of cross-family generalization. The data is described as originating from YouTube . According to the Youtube terms of service the videos may be in violation of (1) The YouTube service agreement (pertinent), since Alphabet is typically a Neurips sponsor. The paper is not suitable for publication on the basis of its content. It should be published on the Internet in the form of an open-source, free-to-read, peer-reviewed paper. For confidential support, call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org.",0.15763546798029557,0.7057152390480042,0.7701724767684937,0.7365363240242004,INCORRECT,0.9992327690124512
8,"This paper proposes a latent point diffusion model, LION, for 3D shape generation. The model builds two denoising diffusion models in the latent spaces of a variational autoencoder. The latent spaces combine a global shape latent representation with a point-structured latent space.  Comprehensive experiments are conducted to evaluate the performance of the proposed method.  The authors address the major concerns of the reviewers and strengthen the paper by providing additional empirical results. After the rebuttal, all four reviewers reach an agreement on accepting the paper because of the novelty and the state-of-the-art performance. The AC agrees with the reviewers and recommends accepting the paper. 

","The paper proposes a hierarchical architecture for point cloud generation, which is composed of two diffusion models for shape latents and latent points. Exhaustive experiments demonstrate LION outperforms several state-of-the-art models on multiple ShapeNet benchmarks. Combining with a surface reconstruction model like SAP enables the generation of smooth 3D meshes. It is convenient to transfer the LION model to other relevant tasks, which only requires fine-tuning the encoder. It's a pretty good idea and the effectiveness is supported by the impressive generation results and ablation study contained in the supp. material. The idea of employing DDMs on latent space is not new but the novelty compared to these works is: using a global shape and a point feature (a.k.a. hierarchical latent space)",0.22784810126582278,0.7973384857177734,0.8271259069442749,0.8119591474533081,INCORRECT,0.9960476756095886
9,"The paper introduces a new method to probe contextualized word embeddings for syntax and sentiment properties using hyperbolic geometry. The paper is written well and relevant to the ICLR community. Reviewers highlight that the proposed Poincaré probe offers solid results, extensive experiments that support the benefits of the approach, and proposes a new approach to analyze the geometry of BERT models. The revised version clarified various concerns of the initial reviews and improved the manuscript (comparison to Euclidean probes, low dimensional examples, new results on edge length distributions etc.). Overall, the paper makes valuable contributions to probing contextualized word embeddings and the majority of reviewers and the AC support acceptance for its contributions. Please revise your paper to take feedback from reviewers after rebuttal into account (especially to further improve clarity and discussion of the method).

","Reviews of the paper are published on the ICLR website. Summarize the main content, strengths, weaknesses of thePaper based on the reviews, and decide on whether the paper is accepted or rejected. The paper proposes probing BERT representations by projecting them into a Poincare subspace. The proposed approach is used to probe ELMO and BERT for both syntax and sentiment in comparison with the conventional Euclidean probes. The analyses did not follow a systematic methodology and some of the interpretations seem subjective and possibly questionable. The visualizations, although interesting, provide a rather anecdotal evidence, in particular since the examples seem to be cherry-picked. The name of the parsing dataset is not even mentioned, nor the meanings of the Spearman correlation metrics (the abbreviations are not self-explanatory).",0.1893939393939394,0.7941973209381104,0.8012430667877197,0.7977046370506287,INCORRECT,0.980036735534668
