,gold,prediction_v0,rouge_score_v0,bertscore_precision_v0,bertscore_recall_v0,bertscore_f1_v0,factCC_label_v0,factCC_score_v0,prediction_v1,prediction_v2,rouge_score_v1,rouge_score_v2,bertscore_precision_v1,bertscore_precision_v2,bertscore_recall_v1,bertscore_recall_v2,bertscore_f1_v1,bertscore_f1_v2,factCC_label_v1,factCC_label_v2,factCC_score_v1,factCC_score_v2
0,"The paper investigates the capacity for neural language models to perform fast-mapping word acquisition using a proposed multimodal external memory architecture. Much work exists that shows that neural models are capable of following instructions whose meaning persists across episodes (i.e., slow-learning), however much less attention has been paid to instruction-following in a one-shot learning context. Using a simulated 3D navigation/manipulation domain, the paper shows that the proposed multimodal memory network is capable of both slow and one-shot word learning when trained via standard RL.

The submission was reviewed by four knowledgable referees, who read the author feedback and engaged in discussion with the authors. The paper is topical---one-shot language learning for instruction-following using neural models is of significant interest of-late. The reviewers agree that the proposed multimodal memory architecture is both interesting and technically solid. The reviewers raised concerns about the experimental evaluation and the role of embodiment. The author feedback together with discussion with reviewers were helpful in resolving some of these issues. However, the authors are encouraged to ensure that the paper clearly motivates the importance of embodiment to slow learning and fast-mapping, particularly given the large body of work in language acquisition in robotics, a truly embodied domain, which is notably missing from the related work discussion.

","The paper presents an argument for a multi-modal memory-architecture called DCEM whose key/queries and values are dependent on language and vision modalities. The proposed DCEM model outperforms baselines on various metrics and ablation. The paper only investigates generalization of object names. This is kind of a low hanging fruit for generalization in language space. The experiments on nonsense words are randomly generated characters in every episode of training and evaluation, to tease out that the new word is being memorized and associated, not that the agent is memorizing that ""dax"" per episode changes meaning. The constant references to the appendix are generally jarring, but this one is just sort of silly. It could be a single sentence maybe but not a whole subsection.",0.1494252873563218,0.7699291706085205,0.7542904615402222,0.7620295882225037,INCORRECT,0.5837467908859253,"Reviews of papers on the same paper. Please summarize the paper reviews and decide on whether the paper is accepted or rejected. The paper considers the problem of fast mapping: in a 3d environment, learning to explore an environment to learn a (new) mapping between objects and names. It seems that theDCEM model performs better than the transformer-XL model when the number of timesteps is limited. It's not quite clear how much the memory bank is learning as opposed to the LSTm hidden state (which is also something mentioned in the supplemental). It would be interesting to learn to measure when the model learns to assign an object to a name. The experiments on nonsense words are randomly generated characters in every episode of training and evaluation, to tease out that the new word is being memorized.","Multiple reviews of the same paper. Summarize the main content, strengths, weaknesses of the paper based on the reviews, and decide on whether the paper is accepted or rejected. The paper considers the problem of fast mapping: in a 3d environment, learning to explore an environment to learn a (new) mapping between objects and names. It seems that theDCEM model performs better than the transformer-XL model when the number of timesteps is limited. It's not quite clear how much the memory bank is learning as opposed to the LSTm hidden state (which is also something mentioned in the supplemental) The paper is really well-written and readable, and the experiments on novel category + novel instance recognition are really convincing specifically for fast- mapping (4.1).",0.149584487534626,0.1489971346704871,0.7620476484298706,0.7713024020195007,0.747605562210083,0.7552902698516846,0.7547575831413269,0.7632123231887817,CORRECT,INCORRECT,0.9973721504211426,0.9872942566871644
1,"This paper considers the problem of (biological) sequence design and optimization. The authors made an interesting yet important case that in certain sequence design tasks, a simple evolutionary greedy algorithm could be competitive with the increasingly complex contemporary black-box optimization models.

Most reviewers appreciate the design of the open-source simulation environment in benchmarking AdaLead (and other competing algorithms) in a number of biological sequence design tasks (e.g. TF binding, RNA, and protein). However, there is a common concern that the experimental results are not fine-grained enough to explain the outperforming results of the proposed algorithm. There are also unresolved comments on missing important BO baselines in the empirical study. As a purely empirical work, these appear to be important concerns. While these results appear to be useful for the domain of biological sequence design, the reviewers are unconvinced that the proposed algorithm is significantly novel, or the results are sufficiently compelling to merit an acceptance to this venue.


","Simple evolutionary algorithm ""AdaLead"" outperformed several existing methods. There is a lack of exploration to understand why AdaLead is outperforming. Some of the figure labels can be improved. There are some acronyms likely not familiar to computer scientists with little biological background left unexplained, such as ""w.t."" in fig 1B. The paper is clearly written. It is unclear to me the ML significance of this work to the ICLR community. It might be more suitable for a specific compbio venue. What could we learn from this result? The authors have surveyed and tested many existing algorithms. They have considered many settings such as DNA, RNA, and protein as well as ""swampland"" The improvement wrt to SOTA is shaky.",0.1565836298932384,0.7861700057983398,0.7796469926834106,0.7828949093818665,INCORRECT,0.9950181245803832,"The paper is well written and motivated and previous, relevant literature is discussed. The structure of this paper is somewhat unconventional, the paper would benefit from more rigor and structure. The experimental results are unsatisfactory without a proper BO comparison. There is a lack of exploration to understand why AdaLead is outperforming. There are some acronyms likely not familiar to computer scientists with little biological background left unexplained, such as ""w.t."" in fig 1B. The paper is clearly written. It is unclear to me the ML significance of this work to the ICLR community. It might be more suitable for a specific compbio venue. What could we learn from this result? The authors have surveyed and tested many existing algorithms. They have considered many settings such as DNA, RNA, and protein.","The paper is published in the open source journal, Theoretical Computer Science (TCS) The structure of this paper is somewhat unconventional, the paper would benefit from more rigor and structure. The experimental results are unsatisfactory without a proper BO comparison. It is unclear to me the ML significance of this work to the ICLR community. It might be more suitable for a specific compbio venue. The paper is clearly written. The authors have surveyed and tested many existing algorithms. They have considered many settings such as DNA, RNA, and protein as well as ""swampland"" The authors introduce a new algorithm AdaLead to solve the problem of efficient design of biological sequences and FLEXS, an open-source simulation environment for sequence design.",0.1428571428571428,0.1696113074204947,0.7876309752464294,0.8031494617462158,0.78835529088974,0.7986137270927429,0.7879929542541504,0.8008751273155212,INCORRECT,INCORRECT,0.994487464427948,0.9994377493858336
2,"This paper presents non-trivial and novel theoretical and computational modeling that accounts for experimentally observed phenomena: the theta phase procession and precession. These phenomena are implicated in the neural representation and learning of neuronal networks involving hippocampus. Although the current manuscript does not address the learning and the presentations are limited to a linear track environment, it represents a clear advance in linking spatial and temporal information representations by extending the standard continuous attractor models that do not exhibit phase procession/precession. Furthermore, the model elegantly explains the biologically observed unimodal and bimodal cells. The authors are encouraged to improve the clarity of some parts of the writing.


","The proposed model is based on a network of recurrent connections with a Gaussian profile. The model is intended to be used in a variety of ways, not just as an example of how to use a neural network. It is not clear if the model can be applied to other areas of the brain, such as the development of new neurons, or if it can be generalized to other parts of the body. The main challenge is that the model does not provide a way of predicting how the brain will react to a change in the environment. It would be helpful to have a better idea of what is going on in the brain when a change is made, rather than relying on the model to predict it. The best way to understand the model is to look at the way the brain responds to changes in its environment, and to try and predict them.",0.1654135338345864,0.7611321210861206,0.7586920261383057,0.7599101066589355,CORRECT,0.9966914653778076,"The authors of the current submission set out to provide a biologically inspired ""neural field"" (herein a PDE model) model of the experimental data reported in Wang et al. (2020) The proposed model, unlike those previously proposed, accounts for ""phase procession"" (cf. phase precession) and ""oscillatory tracking"" The submission is devoted to deriving a particular model of place cell function without relying on statistical or machine learning methods, nor without any immediate implications for those communities. It might be an equally good if not better fit in specialized journals like PlOS CB, Neural Computation, eLife etc. The paper appears to exhibit overall high quality and clarity (though there are a few places where writing can be cleaned up and polished)","The authors of the current submission set out to provide a biologically inspired ""neural field"" (herein a PDE model) model of the experimental data reported in Wang et al. (2020) The proposed model, unlike those previously proposed, accounts for ""phase procession"" (cf. phase precession) and ""oscillatory tracking"" The submission is devoted to deriving a particular model of place cell function (ie. without relying on statistical or machine learning methods, nor without any immediate implications for those communities) It might be an equally good if not better fit in specialized journals like PlOS CB, Neural Computation, eLife etc. Regardless, it would be helpful to generalize their framework or experimental records to 2D or learning scenarios.",0.1572052401746725,0.1434977578475336,0.7745260000228882,0.7714455127716064,0.804571807384491,0.800215482711792,0.789263129234314,0.7855671644210815,INCORRECT,INCORRECT,0.9868294596672058,0.9685518145561218
3,"The proposed method introduces a method for unsupervised image-to-image mapping, using a new term into the objective function that enforces consistency in similarity between image patches across domains. Reviewers left constructive and detailed comments, which, the authors have made substantial efforts to address.

Reviewers have ranked paper as borderline, and in Area Chair's opinion, most major issued have been addressed:

- R3&R2: Novelty compared to DistanceGAN/CRF limited: authors have clarified contributions in reference to DistanceGAN/CRF and demonstrated improved performance relative to several datasets.
- R3&R1: Evaluation on additional datasets required: authors added evaluation on 4 more tasks
- R3&R1: Details missing: authors added details. 



","The paper adds a spatial regularization loss to the well-known CycleGAN loss for unpaired image-to-image translation. The regularization is similar to imposing a CRF (Conditional Random Field) term on the network outputs. This enables the translation network to preserve edge discontinuities and variation in the output. This leads to better outputs for medical imaging, image to labels task, and horse to zebra and vice versa. The paper is lacking in technical details: what is the patch-size used for RGB-histogram? What features or conv-layers are used to get the features from VGGNet? It is not clear why RGB-Histogram would work? The current formulation can be thought as a variant of perceptual loss from Johnson et al. ECCV'16.",0.1545064377682403,0.7617600560188293,0.7620205879211426,0.7618902921676636,INCORRECT,0.9835420846939088,"The paper adds a spatial regularization loss to the well-known CycleGAN loss for unpaired image-to-image translation. The technical novelty is very limited in my opinion. The qualitative results on the task, Horse2Zebra and Zebra2Horse, are not impressive. The current formulation can be thought as a variant of perceptual loss from Johnson et al. ECCV'16 (applied for the patches, or including pair of patches). In my opinion, implementing via perceptual loss formulation would have made the formulation cleaner and simpler. The paper is lacking in technical details: what is the patch-size used for RGB-histogram? What features or conv-layers are used to get the features from VGGNet? It is not clear why RGB-Histogram would work?","This paper proposes a method called HarmonicGAN for unpaired image-to-image translation. The key idea is to introduce a regularization term on the basis of CycleGAN, which encourages similar image patches to acquire similar transformations. The technical novelty is very limited in my opinion. The qualitative results on the task, Horse2Zebra and Zebra2Horse, are not impressive. Obvious artifacts can be observed in the results. I am not able to judge whether the comparisons are fair enough. If there is extra quota, I would recommend Accept. The paper is lacking in technical details: what is the patch-size used for RGB-histogram? What features or conv-layers are used to get the features from VGGNet? It is not clear why RGB-Histogram would work?",0.1391304347826087,0.1545064377682403,0.7555367946624756,0.7740343809127808,0.764630138874054,0.7791054248809814,0.7600563168525696,0.7765616774559021,INCORRECT,CORRECT,0.8851209282875061,0.9483098983764648
4,"The authors provide a benchmark for federated learning. 

The commonly mentioned strengths:
- there is a big need in the community for this type of work
- easily accessible code
- various levels of complexity with different granularity

Regarding the weaknesses, I see no showstoppers
- some feedback about the experiments done on the datasets -> this point comes back consistently among all reviewers, in terms of the amount, settings and reproducibility.. The authors are adviced to address this in future work, to keep momentum for the use of the community on this dataset 
- there was some discussion about tensorflow and pytorch, but based on the discussion both seem supported
- some settings / image types could be better supported

None of these weaknesses seem serious, and quite frankly, we can not expect one dataset to cover all possible settings. Since the reviewers are in agreement about the quality of this work, I recommend them for an oral presentation. 

","The paper was published in the open-source software journal, Caffeine and NLP: A Practical Guide to NLP and Machine Learning. The dataset consists in 429k images from 51k individual Flickr users. The task consists in classification, with 2 levels of granularity for the classes: 17 coarse and ~1.6k fine classes. The results show the difficulty of the task, with centralizing training getting better results than FL, which is in turn better than DP-FL. This work is really needed, providing an open gamefield to the community. It seems FLAIR only supports TensorFlow, which I think is a huge disadvantage for PyTorch users. Proposed benchmark is only for vision tasks that do not include federated NLP tasks such as federated keyword prediction.",0.16,0.7874770164489746,0.7839187979698181,0.7856938242912292,INCORRECT,0.994379222393036,"The paper was published in the open-source software journal, Caffeine and NLP: A Practical Guide to NLP and Machine Learning. The code is lightweight and seems easily understandable. The results on DP-FL and the influence of cohort-size (for sampling) are interesting. The fine-grained classes are highly imbalanced and lead to pure classification results. The presented per-class statistics show the non-uniformity of the dataset. The proposed two levels of difﬀculty, the easier 17 coarse and the harder1,628, can meet more diverse FL settings compared to other federated datasets. It seems FLAIR only supports TensorFlow, which I think is a huge disadvantage for PyTorch users.","The paper was published in the open-source software journal, Caffeine and NLP: A Practical Guide to NLP and Machine Learning. It was published by the Open Source Software Association (OSSA), which is a non-profit organization. Below are multiple summaries of different reviews on the same paper. Summarize the main content, strengths, weaknesses of the paper based on the reviews, and decide on whether the paper is accepted or rejected. It seems FLAIR only supports TensorFlow, which I think is a huge disadvantage for PyTorch users. Proposed benchmark is only for vision tasks that do not include federated NLP tasks such as federated keyword prediction. The results on DP-FL and the influence of cohort-size are interesting.",0.182509505703422,0.1623616236162361,0.7903921604156494,0.7744162082672119,0.7740175127983093,0.7651699781417847,0.78211909532547,0.7697653770446777,INCORRECT,INCORRECT,0.9903427362442015,0.9910043478012084
5,"This paper studies a timely problem and consider an interesting approach, but overall there were many concerns about technical details and the validity of the framework. The positive reviewer also mentioned concerns about the experiments, which others also found to be an insular comparison with weak baselines. Following the response period, in discussion there are additional concerns arising related to the lack of details, for instance related to possible unidentifiability of the model. As one reviewer discusses,  the authors are attempting to use RNNs to impute missing infection status labels when the missingness mechanism is assumed to be (i) not at random, (ii) playing out over time (as it is unclear whether Y^t is assumed (conditionally) independent of Y^t' with t' << t), and (iii) subject to interference (whether someone is tested is the 'treatment' here since it's a missingess problem and one person's propensity to be tested could causally affect another person's downstream infection status since apparently no Markov independence is assumed. There is also consensus that the writing quality can be greatly improved. Overall this work contains some ideas with potential in a thorough revision 

","The proposed approach formalizes an intuitive understanding of the spread of an infectious disease in (as far as I am aware) a novel way. Experimental results on a (private) real-world dataset are somewhat mixed, but show that MIINT achieves a better true positive rate at an acceptable false positive rate. It is not clear to me of the practical significance of the “isolation policy” results. Even using an oracle, Figure 1 seems to suggest that between 30-40% of the population would need to be tested to see a reduction in the infection rate. Neither the paper nor the supplement describe the features available in the real data. It seems a bit strange that the AUROC and AUPRC in Table 1 are almost perfectly negatively correlated. Is there any explanation for that?",0.1419753086419753,0.7661690711975098,0.7489691972732544,0.75747150182724,INCORRECT,0.9155428409576416,"The proposed approach formalizes an intuitive understanding of the spread of an infectious disease in (as far as I am aware) a novel way. Experimental results on a (private) real-world dataset are somewhat mixed, but show that MIINT achieves a better true positive rate at an acceptable false positive rate. It is not clear to me of the practical significance of the “isolation policy” results. Even using an oracle, Figure 1 seems to suggest that between 30-40% of the population would need to be tested to see a reduction in the infection rate. Neither the paper nor the supplement describe the features available in the real data. It seems a bit strange that the AUROC and AUPRC in Table 1 are almost perfectly negatively correlated. Is there any explanation for that?","The proposed approach formalizes an intuitive understanding of the spread of an infectious disease in (as far as I am aware) a novel way. Experimental results on a (private) real-world dataset are somewhat mixed, but show that MIINT achieves a better true positive rate at an acceptable false positive rate. It is not clear to me of the practical significance of the “isolation policy” results. Even using an oracle, Figure 1 seems to suggest that between 30-40% of the population would need to be tested to see a reduction in the infection rate. Neither the paper nor the supplement describe the features available in the real data. It seems a bit strange that the AUROC and AUPRC in Table 1 are almost perfectly negatively correlated. Is there any explanation for that?",0.1419753086419753,0.1419753086419753,0.7661690711975098,0.7661690711975098,0.7489691972732544,0.7489691972732544,0.75747150182724,0.75747150182724,INCORRECT,INCORRECT,0.9155428409576416,0.9155428409576416
6,"The paper addresses the problem of domain generalization for learning spatio-temporal dynamics. It proposes a solution where an encoder captures some characteristics of a given environment, and a forecaster autoregressively predicts future dynamics conditioned on the characteristics learned by the encoder. Said otherwise, the forecaster learns the general form of dynamics parameterized by an environment representation extracted by the encoder. The conditioning is implemented via an adaptive instance normalization mechanism. A form of padding is also introduced in order to take into account boundary conditions. The two components encoder and forecaster are trained sequentially. This approach is casted in a meta-learning framework. Theoretical results inspired by multi-task learning and domain adaptation are also demonstrated. The model is evaluated and compared to different baselines on three problems, and for two different settings: varying initial conditions with a given dynamics, and dynamics with varying parameters.

This is a borderline paper. It targets a timely and important problem of domain generalization for dynamic environments. The proposed solution is original and compares well experimentally to several baselines. It allows for better generalization performance for the two test settings considered. In the current version, the paper however suffers from different weaknesses. First there is the imprecision of the arguments and the description of the experiments. Some of the arguments and claims are vague and sometimes abusive, not backed up by evidence. For example, a central claim is that the encoder learns time invariant quantities characterizing the environment when the learned representations indeed change with a time shift in the input for any environment. The same goes for the argument developed for the padding construction. It is claimed to model boundary conditions, but this is not supported by any theoretical or empirical evidence.
As noted by the reviewers, the theoretical analysis is disconnected from the algorithmic and experimental developments and does not bring much additional value to the paper. What is more embarrassing is that some of the claims in this section are overstated and induce incorrect conclusions.  From Theorem 3.1 and proposition 3.3, the authors suggest that multitask learning leads to better generalization than learning independently, while this is not formally guaranteed by the results (this is acknowledged by the authors in a later comment). Besides, the conditions of validity are not discussed while they seem to only cover situations for which the train and the test distributions are the same. The same holds for the second theoretical results (theorem 3.4). It is claimed that this result supports the authors’ idea of training encoder and forecaster sequentially, while it does not. Besides, the bounds in this result cannot be controlled as noted by the reviewers and are not useful in practice.

Overall, the paper addresses an important topic and proposes new solutions. The results are promising and it is indeed an interesting contribution. However, inaccuracies and incorrect or exaggerated claims make it difficult to accept the current version of the article. The article would make a strong and innovative contribution if it were written as a purely experimental article with a detailed description of the experiments and comparisons.

","This work tackles the task of forecasting dynamics in different domains simultaneously. Using an encoder which is trained to determine the task, the inferred latent vector is then used to adapt a forecasting network to the task at hand. Experiments on three datasets linked to fluid dynamics are then conducted to assess the proposed model. This is a good work on a timely subject. The contribution is not groundbreaking but should be significant enough to warrant acceptance. It would be nice to see how the model deals with other families of dynamics. Especially given the fact that the contributions of this work seem geared towards practical considerations. The setting of the experiments should be more precise and additional details should be given: how are the different datasets constructed, how many domains are there in each dataset and what are the differences, how is the balance between the different domains ect.",0.1315396113602391,0.7919142246246338,0.7500964999198914,0.7704383134841919,CORRECT,0.9988892674446106,"Reviews of different papers on the same paper. Please summarize the paper reviews and decide on whether the paper is accepted or rejected. This is a good work on a timely subject. The contribution is not groundbreaking but should be significant enough to warrant acceptance. It would be nice to see how the model deals with other families of dynamics. Especially given the fact that the contributions of this work seem geared towards practical considerations. The setting of the experiments should be more precise and additional details should be given. The paper could be substantially improved by either (1) adding interpretation/predictions/validation of the theory that connect it back to the approach in the paper, or (2) removing some of the less useful parts of the Theory from the main paper.","Multiple reviews have been published on the same paper. Summarize the main content, strengths, weaknesses of the paper based on the reviews, and decide on whether the paper is accepted or rejected. The work tackles the task of forecasting dynamics in different domains simultaneously. Using an encoder which is trained to determine the task, the inferred latent vector is then used to adapt a forecasting network to the task at hand. This is a good work on a timely subject. The contribution is not groundbreaking but should be significant enough to warrant acceptance. The paper could be substantially improved by either (1) adding interpretation/predictions/validation of the theory that connect it back to the approach in the paper, or (2) removing some of the less useful parts of the Theory from the main paper.",0.1321044546850998,0.1437308868501529,0.7812483310699463,0.7866319417953491,0.7284637689590454,0.7442712187767029,0.753933310508728,0.764865517616272,CORRECT,CORRECT,0.9817713499069214,0.994948148727417
7,"After careful review, I believe that this paper is a useful contribution to the study of animal pose estimation and tracking. The paper received positive reviews from all the reviewers and the authors have successfully addressed the concerns regarding the lack of sufficient novelty and insufficient benchmarking. The authors also added additional low shot experiments to demonstrate the usefulness of the dataset. Based on this, I think the paper meets the bar for the track and should be accepted.

","APT-36K consists of 2,400 video clips collected and filtered from 30 animal species with 15 frames for each video, resulting in 36,000 frames in total. Three tasks are set up to evaluate several representative models. The results and analysis provide some insights which are useful for researchers in this field. The paper is well written and easy to follow. Experiments seem technically sound. My only concern is the novelty of this dataset on animal pose estimation. Since the proposed dataset contains one more animal pose tracking task, I prefer to put the rating at 'Marginally above acceptance threshold' AFAIK, the pose estimation in the animal kingdom dataset [26] consists of 33K frames, corresponding to 850 animal species, so the proposed datasets for pose estimation and tracking.",0.173076923076923,0.7734687328338623,0.8144815564155579,0.7934455871582031,INCORRECT,0.9997145533561708,"Reviews of the APT-36k dataset, consists of 2,400 video sequences, each on 16 frames of annotated video. The videos are balanced across 15 families of animals (30 species), allowing for estimation of cross-family generalization. The paper is well written and easy to follow. Experiments seem technically sound. My only concern is the novelty of this dataset on animal pose estimation. Since the proposed dataset contains one more animal pose tracking task, I prefer to put the rating at 'Marginally above acceptance threshold' AFAIK, the pose estimation in the animal kingdom dataset [26] consists of 33K frames, corresponding to 850 animal species, so the reviewer thinks theAnimal kingdom dataset is more challenging than the proposed datasets for pose estimation and tracking.","Reviews of the APT-36k dataset, consists of 2,400 video sequences, each on 16 frames of annotated video. The videos are balanced across 15 families of animals (30 species), allowing for estimation of cross-family generalization. The results and analysis provide some insights which are useful for researchers in this field. The paper is clear, the dataset and ethics are well documented, and the dataset is of good value to the community. I am voting not to accept the manuscript, but if this issue is reconciled I would consider accepting. M My main reservations are on the novelty of the dataset. It is unclear if the particular videos are licensed under the youtube standard license or a CC-BY license, which would affect whether or not they could be distributed.",0.1881188118811881,0.1809523809523809,0.7759013772010803,0.7671235799789429,0.8159704208374023,0.8101449012756348,0.7954316139221191,0.7880474925041199,INCORRECT,INCORRECT,0.9997290968894958,0.9956120252609252
8,"This paper proposes a latent point diffusion model, LION, for 3D shape generation. The model builds two denoising diffusion models in the latent spaces of a variational autoencoder. The latent spaces combine a global shape latent representation with a point-structured latent space.  Comprehensive experiments are conducted to evaluate the performance of the proposed method.  The authors address the major concerns of the reviewers and strengthen the paper by providing additional empirical results. After the rebuttal, all four reviewers reach an agreement on accepting the paper because of the novelty and the state-of-the-art performance. The AC agrees with the reviewers and recommends accepting the paper. 

","The paper proposes a hierarchical architecture for point cloud generation, which is composed of two diffusion models for shape latents and latent points. Exhaustive experiments demonstrate LION outperforms several state-of-the-art models on multiple ShapeNet benchmarks. The mapping from point- clouds to meshes is responsible for the best-looking results in the paper. The writing is clear and easy-to-read throughout; overall I found the paper enjoyable and informative to read. The technical contribution of the model itself is fairly small – DDMs on latent space have become fairly common. The paper seems to clearly improve state of the art shape generation (note this is not my area of expertise, so I have to trust the authors the metrics and datasets are meaningful)",0.2575107296137339,0.7939537763595581,0.8177897930145264,0.8056955337524414,INCORRECT,0.998964786529541,"The paper proposes a hierarchical architecture for point cloud generation, which is composed of two diffusion models for shape latents and latent points. Exhaustive experiments demonstrate LION outperforms several state-of-the-art models on multiple ShapeNet benchmarks. The writing is clear and easy-to-read throughout; overall I found the paper enjoyable and informative to read. The mapping from point- clouds to meshes is responsible for the best-looking results in the paper. There is very minimal discussion of limitations; this should be expanded. There are sufficient discussion of broader impact (which is negligible). The proposed pipeline is not particularly novel. It is more like a combination of PVCNN and the diffusion model. Combining with a surface reconstruction model like SAP enables the generation of smooth 3D meshes.","The paper proposes a hierarchical architecture for point cloud generation, which is composed of two diffusion models for shape latents and latent points. Exhaustive experiments demonstrate LION outperforms several state-of-the-art models on multiple ShapeNet benchmarks. The writing is clear and easy-to-read throughout; overall I found the paper enjoyable and informative to read. The mapping from point- clouds to meshes is responsible for the best-looking results in the paper. There is very minimal discussion of limitations; this should be expanded. There are sufficient discussion of broader impact (which is negligible). The paper seems to clearly improve state of the art shape generation (note this is not my area of expertise, so I have to trust the authors the metrics and datasets are meaningful) The evaluation seems exhaustive and the exposition of the method is clear.",0.2194092827004219,0.2419354838709677,0.7980148792266846,0.7881636023521423,0.8206216096878052,0.8206567764282227,0.8091603517532349,0.8040820360183716,INCORRECT,INCORRECT,0.9240541458129884,0.9739434719085692
9,"The paper introduces a new method to probe contextualized word embeddings for syntax and sentiment properties using hyperbolic geometry. The paper is written well and relevant to the ICLR community. Reviewers highlight that the proposed Poincaré probe offers solid results, extensive experiments that support the benefits of the approach, and proposes a new approach to analyze the geometry of BERT models. The revised version clarified various concerns of the initial reviews and improved the manuscript (comparison to Euclidean probes, low dimensional examples, new results on edge length distributions etc.). Overall, the paper makes valuable contributions to probing contextualized word embeddings and the majority of reviewers and the AC support acceptance for its contributions. Please revise your paper to take feedback from reviewers after rebuttal into account (especially to further improve clarity and discussion of the method).

","The paper is published in the Proceedings of the National Academy of Sciences of the United States of America. The authors present an extremely lightly parametrized “probe” model to determine the presence of syntactic structure in the embedding space of BERT models. They find that this distance measure, for an equivalent or lesser number of parameters, better reproduces the syntactic properties. This suggests that the BERT model may operate simply, but on a non-Euclidean manifold, in order to work with syntactic information. The name of the parsing dataset is not even mentioned, nor are the meanings of the Spearman correlation metrics (the abbreviations are not self-explanatory). There are also some open questions: for parsing, do you train a single model with both objectives?",0.1762452107279693,0.756090521812439,0.7697658538818359,0.7628669142723083,INCORRECT,0.9885502457618712,"The paper is published in the Proceedings of the National Academy of Sciences of the United States of America. It proposes probes based on hyperbolic embedding spaces, and compares them to the behaviour of Euclidean probes from recent work. The main result is that these probes allow for better recovery of syntactic properties of sentences from contextualized word embeddings compared to context-independent ones. Similar results are presented  on sentiment analysis, even though no results arePresented for context- independent wordembeddings. If thePaper is accepted, I think such an experiment would be very informative. If it is not, I was thinking is it possible to construct embedding that have known syntactic vs semantic properties. E.g. one could increase/decrease the context size, perhaps to extreme values in the case of models such as GLoVe.","This paper proposes probing BERT representations by projecting them into a Poincare subspace. The hyperbolic version of the probes consistently out-perform the Euclidean one. This suggests that the BERT model may operate simply, but on a non-Euclidean manifold, in order to work with syntactic information. The name of the parsing dataset is not even mentioned, nor are the meanings of the Spearman correlation metrics (the abbreviations are not self-explanatory). The authors provide some useful visualizations of the learned projections of the word embeddings. The paper is published in the Proceedings of the National Academy of Sciences of the United States of America. The main result is that these probes allow for better recovery of syntactic properties of sentences from contextualized word embeds compared to context-independent ones.",0.1555555555555555,0.1804511278195488,0.781927227973938,0.783517062664032,0.7867535352706909,0.7914935350418091,0.7843329310417175,0.7874851822853088,INCORRECT,INCORRECT,0.9988719820976256,0.9757128357887268
