,gold,prediction,rouge_score,bertscore_precision,bertscore_recall,bertscore_f1,factCC_label,factCC_score
0,"The paper investigates the capacity for neural language models to perform fast-mapping word acquisition using a proposed multimodal external memory architecture. Much work exists that shows that neural models are capable of following instructions whose meaning persists across episodes (i.e., slow-learning), however much less attention has been paid to instruction-following in a one-shot learning context. Using a simulated 3D navigation/manipulation domain, the paper shows that the proposed multimodal memory network is capable of both slow and one-shot word learning when trained via standard RL.

The submission was reviewed by four knowledgable referees, who read the author feedback and engaged in discussion with the authors. The paper is topical---one-shot language learning for instruction-following using neural models is of significant interest of-late. The reviewers agree that the proposed multimodal memory architecture is both interesting and technically solid. The reviewers raised concerns about the experimental evaluation and the role of embodiment. The author feedback together with discussion with reviewers were helpful in resolving some of these issues. However, the authors are encouraged to ensure that the paper clearly motivates the importance of embodiment to slow learning and fast-mapping, particularly given the large body of work in language acquisition in robotics, a truly embodied domain, which is notably missing from the related work discussion.

","The authors use a 3D world to explore grounded language learning. An agent uses RL to combine novel word-learning with stably acquired meanings. They show that a novel, psychologically-inspired memory mechanism is more memory-efficient than Transformers. The results should be of interest to many working in language / multimodal representation learning. The experiments on nonsense words are randomly generated characters in every episode of training and evaluation, to exactly tease out that the new word is being memorized and associated.",0.13157894736842105,0.8037959337234497,0.7548713684082031,0.7785658240318298,INCORRECT,0.7100579738616943
1,"This paper considers the problem of (biological) sequence design and optimization. The authors made an interesting yet important case that in certain sequence design tasks, a simple evolutionary greedy algorithm could be competitive with the increasingly complex contemporary black-box optimization models.

Most reviewers appreciate the design of the open-source simulation environment in benchmarking AdaLead (and other competing algorithms) in a number of biological sequence design tasks (e.g. TF binding, RNA, and protein). However, there is a common concern that the experimental results are not fine-grained enough to explain the outperforming results of the proposed algorithm. There are also unresolved comments on missing important BO baselines in the empirical study. As a purely empirical work, these appear to be important concerns. While these results appear to be useful for the domain of biological sequence design, the reviewers are unconvinced that the proposed algorithm is significantly novel, or the results are sufficiently compelling to merit an acceptance to this venue.


","The authors implement an open-source simulation environment FLEXS to emulate complex biological landscapes. ‘Swampland’ landscapes with large areas of no gradient, are also studied. They also propose a simple greedy-search evolutionary algorithm, Adapt-with-the-leader (ADALEAD) That is shown to perform better than its competitors and to optimize in challenging settings. The paper is well written and motivated and previous, relevant literature is discussed. It is unclear to me the significance of this work to the ICLR community.",0.1646090534979424,0.7981745004653931,0.7576994895935059,0.7774105072021484,INCORRECT,0.9981665015220642
2,"This paper presents non-trivial and novel theoretical and computational modeling that accounts for experimentally observed phenomena: the theta phase procession and precession. These phenomena are implicated in the neural representation and learning of neuronal networks involving hippocampus. Although the current manuscript does not address the learning and the presentations are limited to a linear track environment, it represents a clear advance in linking spatial and temporal information representations by extending the standard continuous attractor models that do not exhibit phase procession/precession. Furthermore, the model elegantly explains the biologically observed unimodal and bimodal cells. The authors are encouraged to improve the clarity of some parts of the writing.


","The authors of the current submission set out to provide a biologically inspired ""neural field"" (herein a PDE model) model of the experimental data reported in Wang et al. (2020) The proposed model, unlike those previously proposed, accounts for ""phase procession"" (cf. phase precession) and ""oscillatory tracking"" The submission is devoted to deriving a particular model of place cell function without relying on statistical or machine learning methods. It might be an equally good if not better fit in specialized journals like PlOS CB, Neural Computation, eLife etc.",0.16243654822335027,0.7750205993652344,0.7956011295318604,0.7851759791374207,CORRECT,0.9996469020843506
3,"The proposed method introduces a method for unsupervised image-to-image mapping, using a new term into the objective function that enforces consistency in similarity between image patches across domains. Reviewers left constructive and detailed comments, which, the authors have made substantial efforts to address.

Reviewers have ranked paper as borderline, and in Area Chair's opinion, most major issued have been addressed:

- R3&R2: Novelty compared to DistanceGAN/CRF limited: authors have clarified contributions in reference to DistanceGAN/CRF and demonstrated improved performance relative to several datasets.
- R3&R1: Evaluation on additional datasets required: authors added evaluation on 4 more tasks
- R3&R1: Details missing: authors added details. 



","The paper adds a spatial regularization loss to the well-known CycleGAN loss for unpaired image-to-image translation. The regularization is similar to imposing a CRF (Conditional Random Field) term on the network outputs. This enables the translation network to preserve edge discontinuities and variation in the output. This leads to better outputs for medical imaging, image to labels task, and horse to zebra and vice versa. The technical novelty is very limited in my opinion. More qualitative results are needed to demonstrate the effectiveness of the proposed method.",0.18090452261306533,0.7986568212509155,0.7525466084480286,0.7749163508415222,CORRECT,0.6942550539970398
4,"The authors provide a benchmark for federated learning. 

The commonly mentioned strengths:
- there is a big need in the community for this type of work
- easily accessible code
- various levels of complexity with different granularity

Regarding the weaknesses, I see no showstoppers
- some feedback about the experiments done on the datasets -> this point comes back consistently among all reviewers, in terms of the amount, settings and reproducibility.. The authors are adviced to address this in future work, to keep momentum for the use of the community on this dataset 
- there was some discussion about tensorflow and pytorch, but based on the discussion both seem supported
- some settings / image types could be better supported

None of these weaknesses seem serious, and quite frankly, we can not expect one dataset to cover all possible settings. Since the reviewers are in agreement about the quality of this work, I recommend them for an oral presentation. 

","The paper presents FLAIR, a large-scale image dataset for federated learning. FLAIR includes 429,078 images from 51,414 users, with 17 coarse-grained labels and 1,628 ﬁne- grained labels. The results show the difficulty of the task, with centralizing training getting better results than FL, which is in turn better than DP-FL. It seems FLAIR only supports TensorFlow, which I think is a huge disadvantage for PyTorch users.",0.13392857142857142,0.7785590887069702,0.7535722851753235,0.7658619284629822,INCORRECT,0.9940429329872131
5,"This paper studies a timely problem and consider an interesting approach, but overall there were many concerns about technical details and the validity of the framework. The positive reviewer also mentioned concerns about the experiments, which others also found to be an insular comparison with weak baselines. Following the response period, in discussion there are additional concerns arising related to the lack of details, for instance related to possible unidentifiability of the model. As one reviewer discusses,  the authors are attempting to use RNNs to impute missing infection status labels when the missingness mechanism is assumed to be (i) not at random, (ii) playing out over time (as it is unclear whether Y^t is assumed (conditionally) independent of Y^t' with t' << t), and (iii) subject to interference (whether someone is tested is the 'treatment' here since it's a missingess problem and one person's propensity to be tested could causally affect another person's downstream infection status since apparently no Markov independence is assumed. There is also consensus that the writing quality can be greatly improved. Overall this work contains some ideas with potential in a thorough revision 

","The proposed approach formalizes an intuitive understanding of the spread of an infectious disease in (as far as I am aware) a novel way. Experimental results on a (private) real-world dataset are somewhat mixed, but show that MIINT achieves a better true positive rate at an acceptable false positive rate. It is not clear to me of the practical significance of the “isolation policy” results. Even using an oracle, Figure 1 seems to suggest that between 30-40% of the population would need to be tested to see a reduction in the infection rate.",0.11888111888111888,0.7740902304649353,0.7380674481391907,0.755649745464325,CORRECT,0.999886155128479
6,"The paper addresses the problem of domain generalization for learning spatio-temporal dynamics. It proposes a solution where an encoder captures some characteristics of a given environment, and a forecaster autoregressively predicts future dynamics conditioned on the characteristics learned by the encoder. Said otherwise, the forecaster learns the general form of dynamics parameterized by an environment representation extracted by the encoder. The conditioning is implemented via an adaptive instance normalization mechanism. A form of padding is also introduced in order to take into account boundary conditions. The two components encoder and forecaster are trained sequentially. This approach is casted in a meta-learning framework. Theoretical results inspired by multi-task learning and domain adaptation are also demonstrated. The model is evaluated and compared to different baselines on three problems, and for two different settings: varying initial conditions with a given dynamics, and dynamics with varying parameters.

This is a borderline paper. It targets a timely and important problem of domain generalization for dynamic environments. The proposed solution is original and compares well experimentally to several baselines. It allows for better generalization performance for the two test settings considered. In the current version, the paper however suffers from different weaknesses. First there is the imprecision of the arguments and the description of the experiments. Some of the arguments and claims are vague and sometimes abusive, not backed up by evidence. For example, a central claim is that the encoder learns time invariant quantities characterizing the environment when the learned representations indeed change with a time shift in the input for any environment. The same goes for the argument developed for the padding construction. It is claimed to model boundary conditions, but this is not supported by any theoretical or empirical evidence.
As noted by the reviewers, the theoretical analysis is disconnected from the algorithmic and experimental developments and does not bring much additional value to the paper. What is more embarrassing is that some of the claims in this section are overstated and induce incorrect conclusions.  From Theorem 3.1 and proposition 3.3, the authors suggest that multitask learning leads to better generalization than learning independently, while this is not formally guaranteed by the results (this is acknowledged by the authors in a later comment). Besides, the conditions of validity are not discussed while they seem to only cover situations for which the train and the test distributions are the same. The same holds for the second theoretical results (theorem 3.4). It is claimed that this result supports the authors’ idea of training encoder and forecaster sequentially, while it does not. Besides, the bounds in this result cannot be controlled as noted by the reviewers and are not useful in practice.

Overall, the paper addresses an important topic and proposes new solutions. The results are promising and it is indeed an interesting contribution. However, inaccuracies and incorrect or exaggerated claims make it difficult to accept the current version of the article. The article would make a strong and innovative contribution if it were written as a purely experimental article with a detailed description of the experiments and comparisons.

","Reviews of a paper on deep learning for forecasting dynamics. The work tackles the task of forecasting dynamics in different domains simultaneously. This is a good work on a timely subject. The contribution is not groundbreaking but should be significant enough to warrant acceptance. Especially given the fact that the contributions of this work seem geared towards practical considerations. The paper shows that learning shared models across domains is an important and fruitful way forward for modeling physical processes with machine learning. It is framed as a meta-learning approach, and is shown to substantially outperform single task approaches.",0.11326860841423948,0.8106198310852051,0.7368751764297485,0.7719903588294983,CORRECT,0.9893800616264343
7,"After careful review, I believe that this paper is a useful contribution to the study of animal pose estimation and tracking. The paper received positive reviews from all the reviewers and the authors have successfully addressed the concerns regarding the lack of sufficient novelty and insufficient benchmarking. The authors also added additional low shot experiments to demonstrate the usefulness of the dataset. Based on this, I think the paper meets the bar for the track and should be accepted.

","The APT-36k dataset consists of 2,400 video sequences, each on 16 frames of annotated video. The videos are balanced across 15 families of animals (30 species), allowing for estimation of cross-family generalization. Of the three tasks presented, only one requires the continuous video data uniquely included here. The paper is clear, the dataset and ethics are well documented, and the dataset is of good value to the community. I am voting not to accept the manuscript, but if this issue is reconciled I would consider accepting.",0.16666666666666669,0.7766091227531433,0.7991020679473877,0.787695050239563,CORRECT,0.599852442741394
8,"This paper proposes a latent point diffusion model, LION, for 3D shape generation. The model builds two denoising diffusion models in the latent spaces of a variational autoencoder. The latent spaces combine a global shape latent representation with a point-structured latent space.  Comprehensive experiments are conducted to evaluate the performance of the proposed method.  The authors address the major concerns of the reviewers and strengthen the paper by providing additional empirical results. After the rebuttal, all four reviewers reach an agreement on accepting the paper because of the novelty and the state-of-the-art performance. The AC agrees with the reviewers and recommends accepting the paper. 

",The paper proposes the hierarchical Latent Point Diffusion Model (LION) for 3D shape generation. LION is based on a VAE structure with a hierarchical latent space that includes a global shape latent space and a local point-structured latent space. Exhaustive experiments demonstrate LION outperforms several state-of-the-art models on multiple ShapeNet benchmarks. Combining with a surface reconstruction model like SAP enables the generation of smooth 3D meshes. The writing is clear and easy-to-read throughout.,0.32085561497326204,0.8516443967819214,0.817683219909668,0.8343183398246765,INCORRECT,0.9846446514129639
9,"The paper introduces a new method to probe contextualized word embeddings for syntax and sentiment properties using hyperbolic geometry. The paper is written well and relevant to the ICLR community. Reviewers highlight that the proposed Poincaré probe offers solid results, extensive experiments that support the benefits of the approach, and proposes a new approach to analyze the geometry of BERT models. The revised version clarified various concerns of the initial reviews and improved the manuscript (comparison to Euclidean probes, low dimensional examples, new results on edge length distributions etc.). Overall, the paper makes valuable contributions to probing contextualized word embeddings and the majority of reviewers and the AC support acceptance for its contributions. Please revise your paper to take feedback from reviewers after rebuttal into account (especially to further improve clarity and discussion of the method).

","The paper is also at times difficult to follow on its own, as it relies a bit too much on cited work. The name of the parsing dataset is not even mentioned, nor are the meanings of the Spearman correlation metrics. There are also some open questions: for parsing, do you train a single model with both objectives? How does that compare to learning both individually? On the whole the paper is well-written with great visualizations, but the findings are not strong enough at this point.",0.14349775784753363,0.7584201693534851,0.7444279193878174,0.7513588666915894,INCORRECT,0.9979642629623413
