,gold,prediction,rouge_score,bertscore_precision,bertscore_recall,bertscore_f1,factCC_label,factCC_score
0,"The paper investigates the capacity for neural language models to perform fast-mapping word acquisition using a proposed multimodal external memory architecture. Much work exists that shows that neural models are capable of following instructions whose meaning persists across episodes (i.e., slow-learning), however much less attention has been paid to instruction-following in a one-shot learning context. Using a simulated 3D navigation/manipulation domain, the paper shows that the proposed multimodal memory network is capable of both slow and one-shot word learning when trained via standard RL.

The submission was reviewed by four knowledgable referees, who read the author feedback and engaged in discussion with the authors. The paper is topical---one-shot language learning for instruction-following using neural models is of significant interest of-late. The reviewers agree that the proposed multimodal memory architecture is both interesting and technically solid. The reviewers raised concerns about the experimental evaluation and the role of embodiment. The author feedback together with discussion with reviewers were helpful in resolving some of these issues. However, the authors are encouraged to ensure that the paper clearly motivates the importance of embodiment to slow learning and fast-mapping, particularly given the large body of work in language acquisition in robotics, a truly embodied domain, which is notably missing from the related work discussion.

","Reviews of papers on the same paper. Please summarize the paper reviews and decide on whether the paper is accepted or rejected. The paper considers the problem of fast mapping: in a 3d environment, learning to explore an environment to learn a (new) mapping between objects and names. It argues that the language and observation key-value embedding can be used to compute a simple intrinsic reward that incentivizes reaching states (language+vision) This claim is a bit more speculative since comparison with other exploration methods has not been provided. I still recommend acceptance (score of 8). I still Recommend acceptance ( score of 8)                  The paper is really well-written and readable, and the experiments on novel category + novel instance recognition are really convincing specifically for fast mapping (4.1)",0.13636363636363635,0.7678793668746948,0.7574859857559204,0.7626473307609558,INCORRECT,0.9976426959037781
1,"This paper considers the problem of (biological) sequence design and optimization. The authors made an interesting yet important case that in certain sequence design tasks, a simple evolutionary greedy algorithm could be competitive with the increasingly complex contemporary black-box optimization models.

Most reviewers appreciate the design of the open-source simulation environment in benchmarking AdaLead (and other competing algorithms) in a number of biological sequence design tasks (e.g. TF binding, RNA, and protein). However, there is a common concern that the experimental results are not fine-grained enough to explain the outperforming results of the proposed algorithm. There are also unresolved comments on missing important BO baselines in the empirical study. As a purely empirical work, these appear to be important concerns. While these results appear to be useful for the domain of biological sequence design, the reviewers are unconvinced that the proposed algorithm is significantly novel, or the results are sufficiently compelling to merit an acceptance to this venue.


","Review is a review for a paper. Summarize the main content, strengths, weaknesses of the paper, and reviewer's decision on acceptance or rejection. For the full review of this paper, please visit: http://www.sciencemag.org/content/early/2013/10/29/science-science-paper-fleXS-fLExS.html. The paper would follow in the track: ""applications in audio, speech, robotics, neuroscience, computational biology"" The paper is clearly written. It might be more suitable for a specific compbio venue. The experimental results are unsatisfactory without a proper BO comparison. The improvement wrt to SOTA is shaky. I question the interest of the ICLR audience for this type of study.",0.16296296296296298,0.7283531427383423,0.7506376504898071,0.7393274903297424,INCORRECT,0.9955857992172241
2,"This paper presents non-trivial and novel theoretical and computational modeling that accounts for experimentally observed phenomena: the theta phase procession and precession. These phenomena are implicated in the neural representation and learning of neuronal networks involving hippocampus. Although the current manuscript does not address the learning and the presentations are limited to a linear track environment, it represents a clear advance in linking spatial and temporal information representations by extending the standard continuous attractor models that do not exhibit phase procession/precession. Furthermore, the model elegantly explains the biologically observed unimodal and bimodal cells. The authors are encouraged to improve the clarity of some parts of the writing.


","Review of a paper. Summarize the main content, strengths, weaknesses of the paper, and reviewer's decision on acceptance or rejection. The submission is devoted to deriving a particular model of place cell function without relying on statistical or machine learning methods. The paper appears to exhibit overall high quality and clarity (though there are a few places where writing can be cleaned up and polished). The results also appear original (to me, though I am less familiar with this section of the literature on hippocampal places cells than I used to be) and significant. The primary weaknesses I see are addressed in “Questions” below. It would be helpful to generalize their framework or experimental records to 2D or learning scenarios. Such generalization will increase the impact of this paper and might be very helpful to machine learning community.",0.14516129032258066,0.761789083480835,0.7737927436828613,0.7677440047264099,INCORRECT,0.896077573299408
3,"The proposed method introduces a method for unsupervised image-to-image mapping, using a new term into the objective function that enforces consistency in similarity between image patches across domains. Reviewers left constructive and detailed comments, which, the authors have made substantial efforts to address.

Reviewers have ranked paper as borderline, and in Area Chair's opinion, most major issued have been addressed:

- R3&R2: Novelty compared to DistanceGAN/CRF limited: authors have clarified contributions in reference to DistanceGAN/CRF and demonstrated improved performance relative to several datasets.
- R3&R1: Evaluation on additional datasets required: authors added evaluation on 4 more tasks
- R3&R1: Details missing: authors added details. 



","HarmonicGAN proposes a method called HarmonicGAN for unpaired image-to-image translation. The key idea is to introduce a regularization term on the basis of CycleGAN, which encourages similar image patches to acquire similar transformations. Some experimental results are provided to demonstrate the superiority of the proposed method. The technical novelty is very limited in my opinion. I am leaning to reject this submission because of the limited novelty and the inadequate number of experiments. If there is extra quota, I would recommend Accept. For confidential support, call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here for details. The paper is lacking in technical details: what is the patch-size used for RGB-histogram? What features or conv-layers are used to get the features from VGG (19?) net?",0.16326530612244897,0.7624976634979248,0.7721314430236816,0.7672842741012573,INCORRECT,0.9983774423599243
4,"The authors provide a benchmark for federated learning. 

The commonly mentioned strengths:
- there is a big need in the community for this type of work
- easily accessible code
- various levels of complexity with different granularity

Regarding the weaknesses, I see no showstoppers
- some feedback about the experiments done on the datasets -> this point comes back consistently among all reviewers, in terms of the amount, settings and reproducibility.. The authors are adviced to address this in future work, to keep momentum for the use of the community on this dataset 
- there was some discussion about tensorflow and pytorch, but based on the discussion both seem supported
- some settings / image types could be better supported

None of these weaknesses seem serious, and quite frankly, we can not expect one dataset to cover all possible settings. Since the reviewers are in agreement about the quality of this work, I recommend them for an oral presentation. 

","The paper introduces a novel cross-device federated dataset, FLAIR (Federated Learning Annotated Image Repository) The dataset consists in 429k images from 51k individual Flickr users. The task consists in classification, with 2 levels of granularity for the classes: 17 coarse and ~1.6k fine classes. The results show the difficulty of the task, with centralizing training getting better results than FL, which is in turn better than DP-FL. It seems FLAIR only supports TensorFlow, which I think is a huge disadvantage for PyTorch users. Dataset could support vertical FL, but it seems experimentation on vertical FL is weak or none. It is not clear if these labels will be actively used during further research.",0.16417910447761194,0.7864986658096313,0.7786423563957214,0.7825508117675781,INCORRECT,0.9797642230987549
5,"This paper studies a timely problem and consider an interesting approach, but overall there were many concerns about technical details and the validity of the framework. The positive reviewer also mentioned concerns about the experiments, which others also found to be an insular comparison with weak baselines. Following the response period, in discussion there are additional concerns arising related to the lack of details, for instance related to possible unidentifiability of the model. As one reviewer discusses,  the authors are attempting to use RNNs to impute missing infection status labels when the missingness mechanism is assumed to be (i) not at random, (ii) playing out over time (as it is unclear whether Y^t is assumed (conditionally) independent of Y^t' with t' << t), and (iii) subject to interference (whether someone is tested is the 'treatment' here since it's a missingess problem and one person's propensity to be tested could causally affect another person's downstream infection status since apparently no Markov independence is assumed. There is also consensus that the writing quality can be greatly improved. Overall this work contains some ideas with potential in a thorough revision 

","The proposed approach formalizes an intuitive understanding of the spread of an infectious disease in (as far as I am aware) a novel way. Experimental results on a (private) real-world dataset are somewhat mixed, but show that MIINT achieves a better true positive rate at an acceptable false positive rate. With the current setup, it is not clear if MIINT in particular, or any approach which accounts for the graph, would outperform the baselines. Even using an oracle, Figure 1 seems to suggest that between 30-40% of the population would need to be tested to see a reduction in the infection rate. It seems a bit strange that the AUROC and AUPRC in Table 1 are almost perfectly negatively correlated. There are some confusing aspects to the paper that make it hard to evaluate the efficacy of the proposed method.",0.13813813813813813,0.7753279805183411,0.7499842643737793,0.7624456286430359,INCORRECT,0.9606801271438599
6,"The paper addresses the problem of domain generalization for learning spatio-temporal dynamics. It proposes a solution where an encoder captures some characteristics of a given environment, and a forecaster autoregressively predicts future dynamics conditioned on the characteristics learned by the encoder. Said otherwise, the forecaster learns the general form of dynamics parameterized by an environment representation extracted by the encoder. The conditioning is implemented via an adaptive instance normalization mechanism. A form of padding is also introduced in order to take into account boundary conditions. The two components encoder and forecaster are trained sequentially. This approach is casted in a meta-learning framework. Theoretical results inspired by multi-task learning and domain adaptation are also demonstrated. The model is evaluated and compared to different baselines on three problems, and for two different settings: varying initial conditions with a given dynamics, and dynamics with varying parameters.

This is a borderline paper. It targets a timely and important problem of domain generalization for dynamic environments. The proposed solution is original and compares well experimentally to several baselines. It allows for better generalization performance for the two test settings considered. In the current version, the paper however suffers from different weaknesses. First there is the imprecision of the arguments and the description of the experiments. Some of the arguments and claims are vague and sometimes abusive, not backed up by evidence. For example, a central claim is that the encoder learns time invariant quantities characterizing the environment when the learned representations indeed change with a time shift in the input for any environment. The same goes for the argument developed for the padding construction. It is claimed to model boundary conditions, but this is not supported by any theoretical or empirical evidence.
As noted by the reviewers, the theoretical analysis is disconnected from the algorithmic and experimental developments and does not bring much additional value to the paper. What is more embarrassing is that some of the claims in this section are overstated and induce incorrect conclusions.  From Theorem 3.1 and proposition 3.3, the authors suggest that multitask learning leads to better generalization than learning independently, while this is not formally guaranteed by the results (this is acknowledged by the authors in a later comment). Besides, the conditions of validity are not discussed while they seem to only cover situations for which the train and the test distributions are the same. The same holds for the second theoretical results (theorem 3.4). It is claimed that this result supports the authors’ idea of training encoder and forecaster sequentially, while it does not. Besides, the bounds in this result cannot be controlled as noted by the reviewers and are not useful in practice.

Overall, the paper addresses an important topic and proposes new solutions. The results are promising and it is indeed an interesting contribution. However, inaccuracies and incorrect or exaggerated claims make it difficult to accept the current version of the article. The article would make a strong and innovative contribution if it were written as a purely experimental article with a detailed description of the experiments and comparisons.

","The paper tackles the task of forecasting dynamics in different domains simultaneously. Using an encoder which is trained to determine the task, the inferred latent vector is then used to adapt a forecasting network to the task at hand. Experiments on three datasets linked to fluid dynamics are then conducted to assess the proposed model. This is a good work on a timely subject. The contribution is not groundbreaking but should be significant enough to warrant acceptance. It would be nice to see how the model deals with other families of dynamics. The setting of the experiments should be more precise and additional details should be given. The paper could be substantially improved by either adding interpretation/predictions/validation of the theory that connect it back to the approach in the paper, or removing some of the useful parts of the paper.",0.15128593040847202,0.8022729754447937,0.7460981607437134,0.7731665968894958,CORRECT,0.9968685507774353
7,"After careful review, I believe that this paper is a useful contribution to the study of animal pose estimation and tracking. The paper received positive reviews from all the reviewers and the authors have successfully addressed the concerns regarding the lack of sufficient novelty and insufficient benchmarking. The authors also added additional low shot experiments to demonstrate the usefulness of the dataset. Based on this, I think the paper meets the bar for the track and should be accepted.

","The APT-36k dataset consists of 2,400 video sequences, each on 16 frames of annotated video. The videos are balanced across 15 families of animals (30 species), allowing for estimation of cross-family generalization. The data is described as originating from YouTube. According to the Youtube terms of service, the videos may be in violation of (1) The YouTube service agreement (pertinent), since Alphabet is typically a Neurips sponsor. The paper is not suitable for publication on the basis of its content. It should be published on the Internet in the form of an open-source, free-to-read, peer-reviewed paper. For confidential support call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org.",0.15763546798029557,0.7073336839675903,0.7720757722854614,0.7382881045341492,INCORRECT,0.9991868138313293
8,"This paper proposes a latent point diffusion model, LION, for 3D shape generation. The model builds two denoising diffusion models in the latent spaces of a variational autoencoder. The latent spaces combine a global shape latent representation with a point-structured latent space.  Comprehensive experiments are conducted to evaluate the performance of the proposed method.  The authors address the major concerns of the reviewers and strengthen the paper by providing additional empirical results. After the rebuttal, all four reviewers reach an agreement on accepting the paper because of the novelty and the state-of-the-art performance. The AC agrees with the reviewers and recommends accepting the paper. 

","The paper proposes a hierarchical architecture for point cloud generation, which is composed of two diffusion models for shape latents and latent points. The writing is clear and easy-to-read throughout; overall I found the paper enjoyable and informative to read. It should be expanded. There is sufficient discussion of broader impact (which is negligible) There is very minimal discussion of limitations; this should be expand. It would be nice to see more diversity, or discussion of why this is not possible (e.g. if there are too few shapes in some classes to train per-class models) It truely beats several SOTA methods. It does not show any single-view recontruction results. The main contribution might be the hierarchical generation architecture. I did not see any negative societal impact.",0.1506276150627615,0.7516762614250183,0.7945706248283386,0.7725284695625305,INCORRECT,0.9969404935836792
9,"The paper introduces a new method to probe contextualized word embeddings for syntax and sentiment properties using hyperbolic geometry. The paper is written well and relevant to the ICLR community. Reviewers highlight that the proposed Poincaré probe offers solid results, extensive experiments that support the benefits of the approach, and proposes a new approach to analyze the geometry of BERT models. The revised version clarified various concerns of the initial reviews and improved the manuscript (comparison to Euclidean probes, low dimensional examples, new results on edge length distributions etc.). Overall, the paper makes valuable contributions to probing contextualized word embeddings and the majority of reviewers and the AC support acceptance for its contributions. Please revise your paper to take feedback from reviewers after rebuttal into account (especially to further improve clarity and discussion of the method).

","Reviews of papers on BERT and ELMO. Please summarize the paper reviews and decide on whether the paper is accepted or rejected. For example, this paper proposes probing BERT representations by projecting them into a Poincare subspace. This paper is also well written and the authors are rigorous when discussing their results rather than trying to oversell. The analyses did not follow a systematic methodology and some of the interpretations seem subjective and possibly questionable. The visualizations, although interesting, provide a rather anecdotal evidence, in particular since the examples seem to be cherry-picked. It doesn't look like they lead to any new insight about how BERT works. In the absence of that, we can expect that practitioners will stick with Euclideans probes given that they are easier to use.",0.15730337078651685,0.779272198677063,0.7791152000427246,0.7791936993598938,INCORRECT,0.8944836258888245
