,gold,prediction,rouge_score,bertscore_precision,bertscore_recall,bertscore_f1
0,"This paper proposes a class of neural processes that lifts the limitations of conditional neural processes (CNPs) and produces dependent/correlated outputs but that, as CNPs, is inherently scalable and it is easy to train via maximum likelihood. The proposed model is extended to multi-output regression and to capture non-Gaussian output distributions. Results are presented on synthetic data, an electroencephalogram dataset and on a climate modeling problem. The paper parameterizes the prediction map as a Gaussian, where the mean and covariance are determined using neural networks. Non-Gaussian prediction maps are obtained using copulas.   Technically speaking, the reviewers found the approach to be incremental and only marginally significant and I agree with them. Issues such as estimates of computational cost, using fixed lengthscales for the covariances and relationships/using normalizing flows have been addressed by the authors satisfactorily. Empirically, the contribution of the paper is somewhat significant, as it provides similar flexibility to other more computationally expensive processes and more general assumptions than conditional neural processes.",This paper proposes a class of neural process models that can model correlation in the input (and in the output for multiouput regression) via neural networks. The main idea is to directly parameterize the mean and the covariance functions of aconditioned predictive via neural networks. The authors also propose to use Copulae to handle non-Gaussian marginal distributions. Experiments with artificial and real data highlight the predictive ability of the proposed model. The paper is well-written and easy to follow.,0.24096385542168672,0.856279730796814,0.7956734299659729,0.8248648047447205
1,"Exploration can happen at various levels of granularity and at different times during an episode,  and this work performs a study of the problem of exploration (when to explore/when to switch between exploring and exploitation, at what time-scale to do so, and what signals would be good triggers to switch). The study is performed on atari games.  Strenghts: ------------ The study is well motivated and the manuscript is overall well written Studies a new problem area, and proposes an initial novel method for this problem extensive study on atari problems  Weaknesses -------------- some clarity issues as pointed out by the reviewers no illustrative task is given to give a more intuitive exposition of the ""when to explore"" problem comparison to some extra baselines like GoExplore would have been insightful  Rebuttal: ---------- Most clarity issues have been addressed satisfactorily. It has been explained why some requests for extra baselines would be challenging/or not relevant enough. While the authors agree that GoExplore would be an interesting baseline, they seem to have not added it. An illustrative task was not provided.  Summary: ------------ All reviewers agree that this manuscript opens up and tackles a novel direction in exploration, and provides an extensive empirical study on atari games (a standard benchmark for such problem settings). While I agree with the reviewers that point out that this paper could have been made stronger by adding an illustrative task and additional baselines like GoExplore, there is a general consensus that the provided empirical study on this novel problem setting is a good contribution in itself. Because of this I recommend accept.","This paper investigates when to switch between exploitation and exploration and how long to stay in each exploration mode during RL learning. It proposes new ways to explore the subject, especially with intra-episodic exploration variants. It presents a large body of study results (10 pages of appendices!!), and concludes with very thought-provoking suggestions and discussions. The paper is very strong, well-motivated, and empirically sound. It proposes new ways to explore the subject, especially with intra-episodic exploration variants. The paper is very strong, well-motivated, and empirically sound. It proposes new ways to explore the subject, especially with intra-episodic exploration variants. The paper is very strong, well-motivated, and empirically sound. It proposes new ways to explore the subject, especially with intra-episodic exploration variants. The paper is very strong, well-motivated, and empirically sound. It proposes new ways to explore the subject, especially with intra-episodic exploration variants",0.14388489208633096,0.7792994976043701,0.7124449610710144,0.74437415599823
2,"This paper proposes an unsupervised graph learning method [Iterative Graph Self-Distillation (IGSD)] by iteratively performing self-distillation to contrast graph pairs under different augmented views. This idea is then extended to semi-supervised setting where via a supervised contrastive loss and self-training. The method is empirically evaluated on some semi-supervised graph classification and molecular property prediction tasks, and has achieved promising results.  Reviewers agree that the method is interesting and the paper is well-written. The biggest concern from reviewers related to experimental evaluations of the method. The authors responded to this and included additional experiments. Although the reviewers appreciate the provided results and explanations, at the end they were not convinced about the empirical assessments. In particular, R1's post rebuttal comment indicates concerns about the reported performance of GCKN, which is different from the published one in Table 1 of GCKN paper. I encourage authors to improve on these experimental discrepancies and resubmit.","This paper proposes a self-distillation based graph augmentation mechanism to alleviate the drawbacks of existing MI based models w.r.t. their high dependency towards negative sampling. It combines several kinds of existing techniques including diffusion graph augmentation, mean teacher consistency, debiased contrastive loss and pseudo class consistency. The authors performed evaluation on graph classification and regression tasks. Strengths: - The paper is well-written and easy to follow. - The proposed self-distillation based graph augmentation mechanism alleviates the drawbacks of existing MI based models w.r.t. their high dependency towards negative sampling. - The proposed self-distillation based graph augmentation mechanism alleviates the drawbacks of existing MI based models w.r.t. their high dependency towards negative sampling. - The proposed self-distillation based graph augmentation mechanism alleviates the drawbacks of existing MI based models w.r.t. their high dependency towards negative sampling. Weaknesses: - The proposed self-di",0.19543973941368079,0.7465896606445312,0.7626591324806213,0.7545388340950012
3,"This paper suggests that adversarial vulnerability scales with the dimension of the input of neural networks, and support this hypothesis theoretically and experimentally.   The work is well-written, and all of the reviewers appreciated the easy-to-read and clear nature of the theoretical results, including the assumptions and limitations. (The AC did not consider the criticisms raised by Reviewer 3 justified. The norm-bound perturbations considered here are a sufficiently interesting unsolved problem in the community and a clear prerequisite to solving the broader network robustness problem.)   However, many of the reviewers also agreed that the theoretical assumptions - and, in particular, the random initialization of the weights - greatly oversimplify the problem. Reviewers point out that the lack of data dependence and only considering the norm of the gradient considerably limit the significance of the corresponding theoretical results, and also does not properly address the issue of gradient masking.",This paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model depends on its input dimension. The paper studies how the vulnerability of a neural network model,0.20238095238095238,0.7431138753890991,0.6728083491325378,0.7062156796455383
4,"The paper shows that a form of Fictitious Self-Play converges to the Nash equilibria in Markov games. Understanding the theoretical properties of Fictitious Self-Play is important, however the paper in its current form is not ready for publication. The paper needs a more thorough discussion on related works, the assumptions made, and as pointed out by Reviewer3, the convergence argument needs to be expanded and explained in more detail. Further, I encourage authors to add experiments and compare their algorithm with other methods.","This paper studies the problem of learning to play a Nash equilibrium in two-player, zero-sum Markov games using fictitious self-play strategies. The authors propose a novel entropy regularized policy optimization method for both agents. They prove the sequence of joint policies converges to a neighborhood of a Nash equilibrium at a sublinear rate. The paper is well written, and the reviewers found the paper to be well-motivated and easy to follow. However, there are several concerns raised by the reviewers, and the authors did not provide a response. The main concern is that the different assumptions made are a bit ad hoc (sometimes the assumption relates directly on the sequence of policies generated by the algorithm), and thus the provided bound is hard to assess if the provided bound is relevant or a trivial consequence of the assumptions.",0.2026431718061674,0.7908371090888977,0.8145374059677124,0.8025122880935669
5,"This paper proposes a relatively complicated method for source-free unsupervised domain adaptation, which integrates several techniques into a divide and contrast framework. The idea of dividing the target data into source-like subset and target-specific subset and employing global alignment and feature consistency for each subset is novel when the source data is inaccessible. The contrastive learning and memory-based MMD are novel in the context of source-free domain adaptation and introduce theoretical benefits in terms of the expansion theory and domain alignment theory, respectively. Reviewers were on the positive side while holding some concerns on the marginal improvement over the SoTA methods, which were addressed in the author rebuttal. AC generally agreed that the paper has introduced a novel and solid contribution to the field, with a nice connection between algorithmic methods and theoretical insights, and  recommended the paper for acceptance. Authors are suggested to incorporate all rebuttal material in the revision and if possible, to work out a recipe for easing the adoption of their relatively complicated framework that comes with many modules and loss terms.",This paper proposes a new source-free unsupervised domain adaptation method named Divide and Contrast (DaC). The proposed method uses the source model to split the target data into source-like and target-specific samples. A contrastive learning strategy is used to achieve class-wise adaptation and local consistency. The authors demonstrate extensive experiments on three datasets and verify the performance of the proposed method. All the reviewers agree that the paper is well-written and easy to follow. The proposed method is novel and the results are convincing.,0.2962962962962963,0.8595255017280579,0.7991003394126892,0.8282122015953064
6,"This paper explores the use of partial rejection control (PRC) for improved SMC-based variational bounds. While an unbiased SMC variant with PRC has been previously introduced by Kudlicka et al. (2020), this work introduces innovations that can help apply such ideas to variational inference. These bounds result in improvements in empirical performance.   This paper was heavily discussed, with significant engagement by both the authors and the reviewers. Most reviewers recommended acceptance of this paper, with one reviewer (R4) recommending against acceptance. R4's central concerns regard the novelty of the proposed approach and its positioning relative to the existing SMC literature. The authors argued vigorously in the comments that this paper should be judged as a contribution to the VI literature and not the SMC literature.  Unfortunately, I will recommend that this paper is rejected. It is my opinion that R4's concerns were not fully addressed.  On the one hand, I agree with the authors that there is significant value to be had in exploring variants of SMC for VI. Indeed, some prior art, like FIVO and IWAE, contributed little to the Monte Carlo literature. I believe that these were good contributions.  On the other hand, I am concerned that the current draft does not clearly circumscribe its contributions. I read the sections that disuss the works of Schmon et al. (2019) and Kudlicka et al. (2020), and the writing did not leave me with a clear enough sense of the differences. I also read the abstract and introduction of the paper. The introduction of the paper positions this work clearly within the VI literature, but does not clearly discuss prior SMC art, e.g., it does not cite Kudlicka et al. (2020). Despite citing rejection control for SMC, the writing of the abstract and introduction left me with the impression that this work was the first to introduce *unbiased, partial* rejection control for SMC. I believe that impressions matter and that the machine learning community should be generous to adjacent communities when assigning credit.  I realize that my decision is a matter of taste. I also want to say that I am confident that the authors have a clear sense of where their contribution sits, and I suspect that it is a valuable contribution. However, I cannot recommend the draft in its current form. If this is a contribution to the VI literature, as the authors argue, then the authors should not hesitate to give full credit to prior SMC art. My reading of the current draft still leaves me confused about which aspects of the SMC estimator are actual contributions.","This paper proposes an SMC algorithm to sample the posterior distribution of latent states using a partial rejection control step. The reviewers found the paper to be well-written and easy to follow. However, they also raised concerns about the novelty of the proposed approach and the lack of comparisons to prior work. The authors provided a rebuttal that addressed some of the reviewers' concerns, but did not convince the reviewers to raise their scores. The AC agrees with the reviewers that the paper is not ready for publication at ICLR.",0.14095238095238097,0.8122102618217468,0.7217839956283569,0.7643318772315979
7,"This paper addresses a meta-learning method which involves bilevel optimization. It is claimed that two limitations (myopia of MG and restricted consideration of geometry of search space) that most of existing methods have can be resolved by the MBG with a properly chosen pseudo-metric. The algorithm first bootstraps a target from the meta- learner, then optimizes the meta-learner by minimizing the distance to that target under a chosen pseudo-metric. The authors also establish conditions that guarantee performance improvements and show that metric can be sued to control meta-optimization. All the reviewers agree that the idea is interesting and experiments well support it. Authors did a good job in the rebuttal phase, resolving most of concerns raised by reviewers, leading that two of reviewers raised their score. While the current theoretical results are limited to a simple case where L=1$, the method is attractive for meta-learning community. All reviewers agree to champion this paper. Congratulations on a nice work.","This paper proposes a new meta-learning algorithm for hyperparameter optimization. The proposed algorithm addresses two shortcomings of standard meta-optimization algorithms by minimizing the distance to a bootstrapped target under a chosen metric. Empirically, the new algorithm achieved a new state-of-the-art for model-free agents on the Atari ALE benchmark. The paper is well-written and features exemplary empirical execution. The authors aim to resolve two issues with the standard outer-loop gradient-based optimization of the meta-parameters. The paper is well-written and features exemplary empirical execution. The authors aim to resolve two issues with the standard outer-loop gradient-based optimization of the meta-parameters. The paper is well-written and features exemplary empirical execution. The authors aim to resolve two issues with the standard outer-loop gradient-based optimization of the meta-parameters. The paper is well-written and features exemplary empirical execution. The authors aim to resolve two issues",0.22291021671826625,0.7902710437774658,0.785926878452301,0.7880929708480835
8,"Dear Authors, thank you very much for your submission. We are happy to inform you that we have decided to accept it and we look forward to your talk in the workshop. Please, go over the feedback in the reviews and correct or update your papers in time for the camera ready date (May 24). In particular, please address the comments raised by both reviewers regarding clarity, discussion of related work, and additional experimental results, by making use of the additional space (9 pages)  allowed by HSDIP. Best regards HSDIP organizers","The paper presents an extension to existing pattern generation algorithms for PDB heuristics. The reviewers agree that the paper is not ready for publication at ICLR. The authors are encouraged to take the reviewers' comments into account when preparing the camera-ready version of the paper. In particular, it would be great if the authors could address the reviewers' concerns about the clarity of the paper, as well as the lack of comparisons to baselines. In particular, it would be great if the authors could address the reviewers' concerns about the clarity of the paper, as well as the lack of comparisons to baselines. In particular, it would be great if the authors could address the reviewers' concerns about the clarity of the paper, as well as the lack of comparisons to baselines. In particular, it would be great if the authors could address the reviewers' concerns about the clarity of the paper, as well as the lack of comparisons to baselines.",0.15019762845849802,0.7349876761436462,0.7450541257858276,0.7399866580963135
9,"This work presents a novel environment-free invariant learning method that uses an auxiliary network to learn environment-specific features, from which environment inferences can be derived. The method is composed of two jointly learned models, that take care of the environment identification, the learning of the invariant representations, and the label predictions, produced by a multi-headed neural network. The proposed model is compared to different alternative models from the literature of the field, in different challenging benchmarks, and the results show that it closely achieves the best possible invariant learning performance.  After some initial discussions, all reviewers agreed that this work is ready for publication, as the work addresses an important problem, presents good empirical results, and will be of significant interest to the community.","The paper proposes a new method to infer environment labels that can then be used for invariant learning (such as IRM methods). Essentially, it uses a neural network for clustering data into environments with appropriate loss functions. The method is more scalable and less sensitive to outliers than the prior methods. The authors propose a novel environment-free invariant learning method that uses an auxiliary network to learn environment-specific features. The experimental results are sufficient but the presentation should be improved (see below for specific suggestions).",0.19626168224299068,0.8339886665344238,0.8071437478065491,0.8203467130661011
